chembl_id	smiles	mw	qed	logp	tpsa	hbd	hba	max_phase	mw_calc	logp_calc	qed_calc	bbb
CHEMBL515408	CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O	376.24	0.65		99.77	4	7	4.0	376.24	1.775	0.649	0
CHEMBL482967	Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1	368.47	0.73		89.19	2	8	1.0	368.47	3.071	0.731	1
CHEMBL482968	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1	375.48	0.71		72.97	2	6	2.0	375.48	3.174	0.714	1
CHEMBL482950	CC[C@@H](C)Nc1nc(C)nc2c(-c3ccc(OC)nc3C)c(C)nn12	340.43	0.77		77.23	1	7	3.0	340.43	3.331	0.767	1
CHEMBL504535	CCCN1CC(c2ccc(S(C)(=O)=O)cc2)=C(c2ccc(C)cc2)C1=O	369.49	0.81		54.45	0	3	1.0	369.49	3.562	0.81	1
CHEMBL471036	c1ccc2cc(COC3CCNCC3)ccc2c1	241.33	0.89		21.26	1	2	2.0	241.33	3.108	0.891	1
CHEMBL501916	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@@H]1F	253.24	0.78		99.08	2	7	2.0	253.24	0.026	0.783	0
CHEMBL497939	O=c1cccc2n1C[C@@H]1CNC[C@H]2C1	190.25	0.65		34.03	1	3	3.0	190.25	0.555	0.648	0
CHEMBL1689	Cl.c1ccc(CC2=NCCN2)cc1	196.68	0.69		24.39	1	2	4.0	196.68	1.653	0.765	1
CHEMBL528271	CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1	247.30	0.87		67.01	2	3	2.0	247.3	3.084	0.872	1
CHEMBL586702	FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1	417.42	0.64		81.43	0	9	2.0	417.42	1.821	0.636	1
CHEMBL588046	C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.Cl	360.89	0.88		45.59	1	4	1.0	360.89	3.595	0.846	1
CHEMBL531472	CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	326.44	0.94		45.59	1	4	3.0	326.44	3.397	0.935	1
CHEMBL534388	CN1CCC(COC(=O)C(O)(c2ccccc2)c2ccccc2)C1	325.41	0.86		49.77	1	4	2.0	325.41	2.417	0.858	1
