chembl_id	smiles	top_conf	c_rel
CHEMBL457	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1	-1.2883341312408447	0.1650712490081787
CHEMBL93	CC(c1cc2ccccc2s1)N(O)C(N)=O	-1.2972984313964844	0.15610694885253906
CHEMBL264214	CCSc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C	-1.3012890815734863	0.1521162986755371
CHEMBL436	COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F	-1.3019745349884033	0.15143084526062012
CHEMBL636	CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1	-1.3117752075195312	0.1416301727294922
CHEMBL9861	[O-][S+](Cc1ccccn1)c1nc2ccccc2[nH]1	-1.3183410167694092	0.13506436347961426
CHEMBL673	C#CCN(C)Cc1ccccc1	-1.3197468519210815	0.1336585283279419
CHEMBL278519	O=C1c2ccccc2C(=O)C1c1ccc(Cl)cc1	-1.321588158607483	0.13181722164154053
CHEMBL445	CNCCC=C1c2ccccc2CCc2ccccc21	-1.3216255903244019	0.13177978992462158
CHEMBL16073	CCOc1ccc(NC(C)=O)cc1	-1.3217114210128784	0.13169395923614502
CHEMBL562	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O	-1.3233805894851685	0.13002479076385498
CHEMBL7983	CCCOC(=O)c1cc(O)c(O)c(O)c1	-1.330133080482483	0.12327229976654053
CHEMBL101	CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O	-1.3389569520950317	0.1144484281539917
CHEMBL281786	CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5	-1.340840458869934	0.11256492137908936
CHEMBL278020	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	-1.3540840148925781	0.09932136535644531
CHEMBL279433	N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1	-1.3545831441879272	0.09882223606109619
CHEMBL637	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1	-1.3593887090682983	0.0940166711807251
CHEMBL526	CC(C)c1cccc(C(C)C)c1O	-1.3761191368103027	0.0772862434387207
CHEMBL26479	c1ccc(C2(c3ccccc3)OCC(C3CCCCN3)O2)cc1	-1.3775913715362549	0.07581400871276855
CHEMBL5314460	COc1c(C#N)ccc(N2C(=O)C(C)(C)N(c3ccc(C)nc3)C2=S)c1F	-1.3899095058441162	0.06349587440490723
CHEMBL2110986	CN1CCC/C1=N\C(=N\c1ccccc1)N1CCCC1	-1.392922282218933	0.06048309803009033
CHEMBL1564747	Cc1ccc(O)c(-n2nc3ccccc3n2)c1	-1.3932366371154785	0.06016874313354492
CHEMBL38380	O=S(=O)(c1cccc2cnccc12)N1CCCNCC1	-1.3984270095825195	0.054978370666503906
CHEMBL1179047	CCN(CC)CCOC(=O)c1ccc(N)cc1Cl	-1.3997681140899658	0.05363726615905762
CHEMBL19449	CC(C)C(=O)c1c(C(C)C)nn2ccccc12	-1.4058867692947388	0.04751861095428467
CHEMBL620	C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2	-1.4074594974517822	0.04594588279724121
CHEMBL580	O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O	-1.4175187349319458	0.03588664531707764
CHEMBL4	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	-1.4332243204116821	0.02018105983734131
CHEMBL645	CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	-1.4356844425201416	0.017720937728881836
CHEMBL268254	O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1	-1.4371877908706665	0.016217589378356934
CHEMBL7010	CCNC1C2CCC(C2)C1c1ccccc1	-1.4382076263427734	0.01519775390625
CHEMBL1201201	CN[C@@H](C)Cc1ccccc1	-1.445027232170105	0.008378148078918457
CHEMBL568	O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O	-1.4478694200515747	0.0055359601974487305
CHEMBL14370	CCOc1ccccc1OC(c1ccccc1)C1CNCCO1	-1.4511045217514038	0.002300858497619629
CHEMBL9419	CC(=O)Nc1cccc(O)c1	-1.4554986953735352	-0.0020933151245117188
CHEMBL16	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	-1.4674421548843384	-0.014036774635314941
CHEMBL19019	O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5	-1.4744657278060913	-0.02106034755706787
CHEMBL782	CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1	-1.4871844053268433	-0.033779025077819824
CHEMBL12610	CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12	-1.4872556924819946	-0.03385031223297119
CHEMBL22150	CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	-1.4965667724609375	-0.04316139221191406
CHEMBL9506	CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c2ccccc2)c2ccccc21	-1.500465750694275	-0.047060370445251465
CHEMBL275739	Cc1ccc(C)n1Nc1ccc(N2CCOCC2)nn1	-1.5069351196289062	-0.05352973937988281
CHEMBL15768	CC12CCC(CC1=O)C2(C)C	-1.5118786096572876	-0.05847322940826416
CHEMBL277100	CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1	-1.5161882638931274	-0.062782883644104
CHEMBL3545420	CCNCc1cncc(-c2ccc3c(c2)/C(=C2/N=c4cc(F)cc(F)c4=N2)NN3)c1C	-1.5245702266693115	-0.07116484642028809
CHEMBL506	COc1cc(NC(C)CCCN)c2ncccc2c1	-1.5249106884002686	-0.07150530815124512
CHEMBL18901	Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1	-1.5286121368408203	-0.07520675659179688
CHEMBL53	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3	-1.5348103046417236	-0.0814049243927002
CHEMBL847	CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1	-1.5448486804962158	-0.09144330024719238
