time_ns,rmsd_all_A,rmsd_dfg_region_A,rmsd_nlobe_A
86.400,11.377,5.638,9.157
86.500,11.626,5.880,9.453
86.600,11.245,6.039,9.051
86.700,11.321,5.866,9.090
86.800,11.393,5.723,9.179
86.900,11.343,6.052,9.029
87.000,11.434,5.792,9.271
87.100,11.539,6.068,9.412
87.200,11.415,5.877,9.147
87.300,11.234,5.795,8.877
87.400,11.380,6.077,9.103
87.500,11.512,6.075,9.575
87.600,11.127,5.527,8.747
87.700,11.588,6.081,9.641
87.800,11.301,5.816,9.139
87.900,11.558,5.888,9.414
88.000,11.821,6.106,9.680
88.100,11.730,5.747,9.484
88.200,11.895,6.136,9.633
88.300,11.947,6.266,9.793
88.400,11.891,6.337,9.589
88.500,11.861,6.080,9.625
88.600,11.671,5.981,9.415
88.700,11.741,6.023,9.336
88.800,11.970,6.213,9.933
88.900,12.061,6.303,9.655
89.000,11.871,6.396,9.649
89.100,11.928,6.414,9.749
89.200,11.819,6.443,9.646
89.300,11.956,6.517,9.933
89.400,11.791,6.327,9.802
89.500,11.943,6.375,9.778
89.600,12.294,6.719,10.382
89.700,12.550,7.330,10.743
89.800,12.717,7.314,10.941
89.900,12.760,7.492,11.040
90.000,12.837,7.325,11.051
90.100,12.847,7.268,11.034
90.200,12.513,6.992,10.725
90.300,12.663,7.043,10.674
90.400,12.799,7.047,11.052
90.500,12.825,7.240,11.326
90.600,12.925,7.531,11.345
90.700,13.198,7.697,11.700
90.800,13.284,7.559,11.735
90.900,13.144,7.410,11.526
91.000,12.960,7.229,11.253
91.100,12.881,6.842,11.281
91.200,12.907,6.870,11.427
91.300,12.988,7.268,11.435
91.400,12.921,6.923,11.323
91.500,12.912,7.133,11.253
91.600,12.680,6.860,11.063
91.700,12.899,6.854,11.088
91.800,13.321,7.564,12.065
91.900,13.108,7.092,11.696
92.000,12.953,7.101,11.335
92.100,12.554,6.803,10.804
92.200,13.068,7.268,11.470
92.300,13.046,7.378,11.537
92.400,13.135,7.454,11.495
92.500,12.613,7.039,10.679
92.600,12.416,6.629,10.529
92.700,12.572,6.904,10.948
92.800,12.614,6.863,10.852
92.900,12.686,6.893,11.131
93.000,12.958,7.152,11.456
93.100,13.007,7.202,11.547
93.200,12.957,7.208,11.386
93.300,13.104,7.115,11.755
93.400,13.114,7.111,11.884
93.500,13.194,7.257,12.024
93.600,13.235,7.316,12.076
93.700,13.125,7.219,11.943
93.800,13.204,6.948,12.066
93.900,13.356,7.307,12.165
94.000,13.372,7.474,12.173
94.100,13.106,7.191,11.847
94.200,13.144,7.348,11.776
94.300,13.027,7.147,11.658
94.400,13.334,7.213,12.181
94.500,13.382,7.365,12.172
94.600,13.397,7.590,12.110
94.700,13.709,7.913,12.511
94.800,13.688,7.843,12.474
94.900,13.894,7.984,12.841
95.000,13.679,7.672,12.598
95.100,13.314,7.380,12.004
95.200,13.254,7.305,12.016
95.300,13.055,7.322,11.842
95.400,13.363,7.448,12.314
95.500,13.582,7.690,12.670
95.600,13.281,7.466,12.285
95.700,13.070,7.180,11.793
95.800,12.928,6.987,11.631
95.900,12.679,6.858,11.355
96.000,12.800,7.122,11.389
96.100,12.788,7.511,11.524
96.200,12.836,7.396,11.520
96.300,12.802,7.439,11.525
96.400,12.952,7.455,11.755
96.500,13.136,7.638,11.886
96.600,13.209,7.771,11.939
96.700,12.927,7.233,11.597
96.800,12.868,7.377,11.659
96.900,13.035,7.748,11.780
97.000,13.116,7.661,11.932
97.100,13.038,7.503,11.823
97.200,12.519,7.117,11.225
97.300,12.599,7.131,11.245
97.400,12.328,6.996,10.905
97.500,12.482,7.200,11.149
97.600,12.479,7.250,11.025
97.700,12.428,7.009,11.211
97.800,12.783,7.340,11.883
97.900,12.557,7.246,11.353
98.000,12.776,7.503,11.474
98.100,12.956,7.605,11.890
98.200,13.087,7.636,11.914
98.300,12.810,7.531,11.670
98.400,12.698,7.559,11.571
98.500,12.652,7.299,11.585
98.600,12.791,7.498,11.837
98.700,12.642,7.008,11.627
98.800,13.031,7.427,12.047
98.900,13.352,7.886,12.603
99.000,13.423,7.974,12.533
99.100,13.287,7.697,12.438
99.200,13.412,7.667,12.789
99.300,13.531,7.950,12.847
99.400,13.344,7.886,12.632
99.500,13.259,7.800,12.554
99.600,13.476,7.745,12.922
99.700,13.645,8.018,12.985
99.800,13.447,7.773,12.744
99.900,13.574,7.757,12.836
100.000,13.490,7.712,13.014
100.100,13.586,7.910,12.798
