frame,time_ns,pocket_rg_A
318,31.800,16.969
319,31.900,16.852
320,32.000,17.004
321,32.100,16.736
322,32.200,16.612
323,32.300,16.639
324,32.400,16.889
325,32.500,16.767
326,32.600,16.848
327,32.700,16.809
328,32.800,16.692
329,32.900,16.705
330,33.000,16.829
331,33.100,16.735
332,33.200,16.674
333,33.300,16.944
334,33.400,16.438
335,33.500,16.712
336,33.600,16.627
337,33.700,16.926
338,33.800,16.695
339,33.900,16.810
340,34.000,16.994
341,34.100,16.777
342,34.200,16.764
343,34.300,16.706
344,34.400,16.705
345,34.500,16.785
346,34.600,17.001
347,34.700,16.819
348,34.800,17.029
349,34.900,16.704
350,35.000,17.064
351,35.100,16.813
352,35.200,16.721
353,35.300,16.870
354,35.400,16.930
355,35.500,16.951
356,35.600,16.718
357,35.700,16.761
358,35.800,16.843
359,35.900,16.962
360,36.000,16.974
361,36.100,16.899
362,36.200,16.891
363,36.300,16.920
364,36.400,16.863
365,36.500,16.804
366,36.600,16.813
367,36.700,16.818
368,36.800,16.724
369,36.900,16.649
370,37.000,16.636
371,37.100,16.750
372,37.200,16.483
373,37.300,16.789
374,37.400,16.872
375,37.500,16.676
376,37.600,16.624
377,37.700,16.680
378,37.800,16.735
379,37.900,16.762
380,38.000,16.770
381,38.100,16.573
382,38.200,16.780
383,38.300,16.649
384,38.400,16.632
385,38.500,16.631
386,38.600,16.937
387,38.700,16.804
388,38.800,16.930
389,38.900,16.683
390,39.000,16.764
391,39.100,16.850
392,39.200,16.894
393,39.300,16.967
394,39.400,16.901
395,39.500,16.903
396,39.600,16.998
397,39.700,16.930
398,39.800,16.874
399,39.900,17.024
400,40.000,17.042
401,40.100,17.002
402,40.200,17.075
403,40.300,17.111
404,40.400,17.069
405,40.500,17.052
406,40.600,17.165
407,40.700,17.261
408,40.800,17.191
409,40.900,17.323
410,41.000,17.053
411,41.100,17.233
412,41.200,17.040
413,41.300,17.109
414,41.400,17.053
415,41.500,17.200
416,41.600,17.096
417,41.700,17.087
418,41.800,17.224
419,41.900,17.045
420,42.000,17.013
421,42.100,17.237
422,42.200,17.138
423,42.300,17.114
424,42.400,17.123
425,42.500,16.955
426,42.600,17.041
427,42.700,17.150
428,42.800,16.982
429,42.900,16.959
430,43.000,17.076
431,43.100,16.998
432,43.200,16.928
433,43.300,16.799
434,43.400,17.091
435,43.500,17.042
436,43.600,17.049
437,43.700,16.904
438,43.800,16.813
439,43.900,16.910
440,44.000,16.719
441,44.100,16.905
442,44.200,16.863
443,44.300,16.947
444,44.400,17.057
445,44.500,16.837
446,44.600,16.659
447,44.700,16.626
448,44.800,16.673
449,44.900,16.805
450,45.000,16.830
451,45.100,16.733
452,45.200,16.608
453,45.300,16.744
454,45.400,16.775
455,45.500,16.625
456,45.600,16.636
457,45.700,16.531
458,45.800,16.632
459,45.900,16.627
460,46.000,16.675
461,46.100,16.716
462,46.200,16.714
463,46.300,16.651
464,46.400,16.574
465,46.500,16.718
466,46.600,16.756
467,46.700,16.651
468,46.800,16.732
469,46.900,16.643
470,47.000,16.655
471,47.100,16.737
472,47.200,16.664
473,47.300,16.724
474,47.400,16.889
475,47.500,16.754
476,47.600,16.775
477,47.700,16.655
478,47.800,16.756
479,47.900,16.854
480,48.000,16.707
481,48.100,16.715
482,48.200,16.605
483,48.300,16.671
484,48.400,16.758
485,48.500,16.753
486,48.600,16.781
487,48.700,16.686
488,48.800,16.789
489,48.900,16.791
490,49.000,16.788
491,49.100,16.810
492,49.200,16.808
493,49.300,16.696
494,49.400,16.708
495,49.500,16.609
496,49.600,16.608
497,49.700,16.851
498,49.800,16.538
499,49.900,16.695
500,50.000,16.448
501,50.100,16.576
502,50.200,16.694
503,50.300,16.705
504,50.400,16.738
505,50.500,16.811
506,50.600,16.850
507,50.700,16.930
508,50.800,16.742
509,50.900,16.735
510,51.000,16.744
511,51.100,16.866
512,51.200,16.703
513,51.300,16.797
514,51.400,16.663
515,51.500,16.654
516,51.600,16.597
517,51.700,16.604
518,51.800,16.920
519,51.900,16.747
520,52.000,16.659
521,52.100,16.788
522,52.200,16.794
523,52.300,16.896
524,52.400,16.806
525,52.500,16.772
526,52.600,16.772
527,52.700,16.732
528,52.800,16.787
529,52.900,16.713
530,53.000,16.693
531,53.100,16.706
532,53.200,16.731
533,53.300,16.699
534,53.400,16.582
535,53.500,16.663
536,53.600,16.710
537,53.700,16.699
538,53.800,16.843
539,53.900,16.617
540,54.000,16.870
541,54.100,16.772
542,54.200,16.787
543,54.300,16.773
544,54.400,16.729
545,54.500,16.635
546,54.600,16.512
547,54.700,16.511
548,54.800,16.806
549,54.900,16.564
550,55.000,16.793
551,55.100,16.675
552,55.200,16.586
553,55.300,16.660
554,55.400,16.600
555,55.500,16.771
556,55.600,16.446
557,55.700,16.662
558,55.800,16.582
559,55.900,16.635
560,56.000,16.654
561,56.100,16.766
562,56.200,16.616
563,56.300,16.694
564,56.400,16.689
565,56.500,16.793
566,56.600,16.504
567,56.700,16.725
568,56.800,16.805
569,56.900,16.567
570,57.000,16.577
571,57.100,16.642
572,57.200,16.701
573,57.300,16.656
574,57.400,16.671
575,57.500,16.557
576,57.600,16.710
577,57.700,16.607
578,57.800,16.671
579,57.900,16.772
580,58.000,16.792
581,58.100,16.747
582,58.200,16.616
583,58.300,16.731
584,58.400,16.509
585,58.500,16.688
586,58.600,16.652
587,58.700,16.572
588,58.800,16.520
589,58.900,16.476
590,59.000,16.546
591,59.100,16.712
592,59.200,16.747
593,59.300,16.635
594,59.400,16.645
595,59.500,16.611
596,59.600,16.612
597,59.700,16.496
598,59.800,16.551
599,59.900,16.610
600,60.000,16.724
601,60.100,16.676
602,60.200,16.732
603,60.300,16.488
604,60.400,16.601
605,60.500,16.514
606,60.600,16.618
607,60.700,16.741
608,60.800,16.659
609,60.900,16.575
610,61.000,16.693
611,61.100,16.596
612,61.200,16.525
613,61.300,16.554
614,61.400,16.635
615,61.500,16.541
616,61.600,16.321
617,61.700,16.512
618,61.800,16.352
619,61.900,16.438
620,62.000,16.667
621,62.100,16.473
622,62.200,16.610
623,62.300,16.700
624,62.400,16.571
625,62.500,16.626
626,62.600,16.627
627,62.700,16.455
628,62.800,16.439
629,62.900,16.598
630,63.000,16.774
631,63.100,16.683
632,63.200,16.810
633,63.300,16.570
634,63.400,16.644
635,63.500,16.654
636,63.600,16.557
637,63.700,16.590
638,63.800,16.591
639,63.900,16.640
640,64.000,16.574
641,64.100,16.846
642,64.200,16.627
643,64.300,16.528
644,64.400,16.536
645,64.500,16.566
646,64.600,16.573
647,64.700,16.541
648,64.800,16.514
649,64.900,16.682
650,65.000,16.655
651,65.100,16.590
652,65.200,16.717
653,65.300,16.739
654,65.400,16.768
655,65.500,16.618
656,65.600,16.735
657,65.700,16.646
658,65.800,16.619
659,65.900,16.681
660,66.000,16.694
661,66.100,16.756
662,66.200,16.607
663,66.300,16.657
664,66.400,16.514
665,66.500,16.694
666,66.600,16.577
667,66.700,16.626
668,66.800,16.677
669,66.900,16.608
670,67.000,16.734
671,67.100,16.640
672,67.200,16.515
673,67.300,16.673
674,67.400,16.703
675,67.500,16.718
676,67.600,16.729
677,67.700,16.659
678,67.800,16.718
679,67.900,16.718
680,68.000,16.658
681,68.100,16.813
682,68.200,16.766
683,68.300,16.883
684,68.400,16.853
685,68.500,16.611
686,68.600,16.676
687,68.700,16.868
688,68.800,16.643
689,68.900,16.623
690,69.000,17.011
691,69.100,16.840
692,69.200,16.722
693,69.300,16.821
694,69.400,16.939
695,69.500,16.697
696,69.600,17.023
697,69.700,16.786
698,69.800,16.857
699,69.900,16.916
700,70.000,16.889
701,70.100,16.871
702,70.200,17.043
703,70.300,16.855
704,70.400,16.844
705,70.500,16.759
706,70.600,16.782
707,70.700,16.834
708,70.800,16.896
709,70.900,16.675
710,71.000,16.798
711,71.100,16.839
712,71.200,16.875
713,71.300,16.728
714,71.400,16.755
715,71.500,17.015
716,71.600,16.861
717,71.700,16.675
718,71.800,16.831
719,71.900,16.693
720,72.000,16.795
721,72.100,16.827
722,72.200,16.802
723,72.300,16.467
724,72.400,16.619
725,72.500,16.940
726,72.600,16.579
727,72.700,16.648
728,72.800,16.656
729,72.900,16.813
730,73.000,16.513
731,73.100,16.778
732,73.200,16.726
733,73.300,16.812
734,73.400,16.664
735,73.500,16.597
736,73.600,16.761
737,73.700,16.770
738,73.800,16.903
739,73.900,16.820
740,74.000,16.664
741,74.100,16.709
742,74.200,16.786
743,74.300,16.665
744,74.400,16.480
745,74.500,16.722
746,74.600,16.753
747,74.700,16.689
748,74.800,16.678
749,74.900,16.737
750,75.000,16.737
751,75.100,16.835
752,75.200,16.595
753,75.300,16.635
754,75.400,16.705
755,75.500,16.821
756,75.600,16.673
757,75.700,16.635
758,75.800,16.639
759,75.900,16.643
760,76.000,16.725
761,76.100,16.838
762,76.200,16.809
763,76.300,16.927
764,76.400,16.831
765,76.500,16.668
766,76.600,16.656
767,76.700,16.870
768,76.800,16.757
769,76.900,16.742
770,77.000,16.882
771,77.100,16.790
772,77.200,16.875
773,77.300,16.714
774,77.400,16.891
775,77.500,16.746
776,77.600,16.813
777,77.700,16.842
778,77.800,16.659
779,77.900,16.759
780,78.000,16.728
781,78.100,16.745
782,78.200,16.741
783,78.300,16.858
784,78.400,16.751
785,78.500,16.831
786,78.600,16.901
787,78.700,16.877
788,78.800,16.983
789,78.900,16.950
790,79.000,16.801
791,79.100,16.905
792,79.200,16.931
793,79.300,16.957
794,79.400,16.651
795,79.500,16.849
796,79.600,16.853
797,79.700,16.652
798,79.800,17.060
799,79.900,16.766
800,80.000,16.835
801,80.100,16.877
802,80.200,16.794
803,80.300,17.029
804,80.400,16.895
805,80.500,16.943
806,80.600,16.809
807,80.700,16.777
808,80.800,16.888
809,80.900,16.915
810,81.000,16.987
811,81.100,16.966
812,81.200,17.041
813,81.300,17.227
814,81.400,16.940
815,81.500,16.918
816,81.600,16.716
817,81.700,16.959
818,81.800,17.025
