frame,time_ns,dfg_dihedral_deg
318,31.800,165.76
319,31.900,153.44
320,32.000,151.65
321,32.100,158.17
322,32.200,156.58
323,32.300,149.90
324,32.400,155.56
325,32.500,163.93
326,32.600,162.04
327,32.700,160.03
328,32.800,157.59
329,32.900,157.75
330,33.000,160.79
331,33.100,160.46
332,33.200,157.75
333,33.300,160.23
334,33.400,164.51
335,33.500,158.23
336,33.600,147.23
337,33.700,149.57
338,33.800,152.07
339,33.900,154.83
340,34.000,167.66
341,34.100,162.33
342,34.200,162.92
343,34.300,159.08
344,34.400,169.33
345,34.500,162.02
346,34.600,146.94
347,34.700,157.49
348,34.800,167.79
349,34.900,164.89
350,35.000,147.56
351,35.100,153.28
352,35.200,152.82
353,35.300,162.79
354,35.400,157.14
355,35.500,162.39
356,35.600,168.28
357,35.700,154.89
358,35.800,155.32
359,35.900,168.38
360,36.000,152.60
361,36.100,160.12
362,36.200,154.99
363,36.300,151.98
364,36.400,144.06
365,36.500,155.51
366,36.600,153.33
367,36.700,155.19
368,36.800,152.15
369,36.900,155.36
370,37.000,146.80
371,37.100,161.06
372,37.200,151.02
373,37.300,148.51
374,37.400,155.56
375,37.500,155.96
376,37.600,153.48
377,37.700,151.54
378,37.800,162.59
379,37.900,152.84
380,38.000,160.17
381,38.100,150.71
382,38.200,155.14
383,38.300,151.28
384,38.400,150.46
385,38.500,143.60
386,38.600,147.33
387,38.700,164.65
388,38.800,147.50
389,38.900,139.69
390,39.000,157.81
391,39.100,145.63
392,39.200,160.69
393,39.300,151.25
394,39.400,158.29
395,39.500,165.96
396,39.600,156.34
397,39.700,155.60
398,39.800,151.96
399,39.900,157.06
400,40.000,147.60
401,40.100,149.15
402,40.200,149.88
403,40.300,150.13
404,40.400,169.49
405,40.500,161.99
406,40.600,151.29
407,40.700,143.91
408,40.800,156.46
409,40.900,153.36
410,41.000,153.73
411,41.100,149.16
412,41.200,152.31
413,41.300,145.17
414,41.400,159.95
415,41.500,148.32
416,41.600,156.59
417,41.700,143.24
418,41.800,147.54
419,41.900,148.63
420,42.000,145.43
421,42.100,167.49
422,42.200,152.42
423,42.300,146.97
424,42.400,160.19
425,42.500,159.24
426,42.600,150.11
427,42.700,147.69
428,42.800,147.47
429,42.900,155.50
430,43.000,150.17
431,43.100,156.84
432,43.200,145.72
433,43.300,131.53
434,43.400,139.64
435,43.500,140.53
436,43.600,139.88
437,43.700,144.93
438,43.800,143.41
439,43.900,153.15
440,44.000,141.76
441,44.100,142.45
442,44.200,146.14
443,44.300,155.64
444,44.400,138.75
445,44.500,149.61
446,44.600,153.82
447,44.700,142.93
448,44.800,154.38
449,44.900,147.15
450,45.000,140.67
451,45.100,155.51
452,45.200,163.82
453,45.300,158.32
454,45.400,161.11
455,45.500,154.47
456,45.600,153.35
457,45.700,154.03
458,45.800,151.86
459,45.900,146.35
460,46.000,152.35
461,46.100,156.93
462,46.200,159.44
463,46.300,165.65
464,46.400,163.84
465,46.500,149.43
466,46.600,156.79
467,46.700,154.55
468,46.800,153.14
469,46.900,158.09
470,47.000,154.09
471,47.100,149.41
472,47.200,158.45
473,47.300,150.84
474,47.400,153.88
475,47.500,150.91
476,47.600,155.87
477,47.700,157.42
478,47.800,154.90
479,47.900,149.42
480,48.000,156.43
481,48.100,152.55
482,48.200,144.72
483,48.300,151.25
484,48.400,157.53
485,48.500,146.24
486,48.600,146.50
487,48.700,140.53
488,48.800,143.94
489,48.900,148.09
490,49.000,145.66
491,49.100,145.83
492,49.200,156.67
493,49.300,154.34
494,49.400,145.04
495,49.500,150.24
496,49.600,152.87
497,49.700,149.10
498,49.800,147.89
499,49.900,151.60
500,50.000,145.60
501,50.100,145.27
502,50.200,142.45
503,50.300,152.26
504,50.400,138.34
505,50.500,135.64
506,50.600,150.35
507,50.700,149.62
508,50.800,145.30
509,50.900,148.14
510,51.000,146.87
511,51.100,137.61
512,51.200,149.48
513,51.300,139.61
514,51.400,143.24
515,51.500,135.85
516,51.600,142.27
517,51.700,149.35
518,51.800,142.92
519,51.900,145.28
520,52.000,142.81
521,52.100,141.86
522,52.200,153.76
523,52.300,144.60
524,52.400,143.84
525,52.500,135.40
526,52.600,142.40
527,52.700,145.61
528,52.800,146.53
529,52.900,142.83
530,53.000,145.34
531,53.100,146.01
532,53.200,148.93
533,53.300,140.93
534,53.400,142.84
535,53.500,151.92
536,53.600,159.44
537,53.700,140.47
538,53.800,147.12
539,53.900,146.52
540,54.000,139.91
541,54.100,143.89
542,54.200,145.41
543,54.300,145.17
544,54.400,150.45
545,54.500,145.34
546,54.600,145.44
547,54.700,153.68
548,54.800,143.04
549,54.900,148.49
550,55.000,152.96
551,55.100,152.13
552,55.200,154.45
553,55.300,153.82
554,55.400,165.73
555,55.500,144.34
556,55.600,151.29
557,55.700,156.23
558,55.800,167.16
559,55.900,152.50
560,56.000,157.00
561,56.100,154.01
562,56.200,161.84
563,56.300,142.35
564,56.400,147.36
565,56.500,151.57
566,56.600,157.12
567,56.700,161.05
568,56.800,151.94
569,56.900,155.17
570,57.000,149.70
571,57.100,157.78
572,57.200,154.10
573,57.300,158.03
574,57.400,153.04
575,57.500,156.81
576,57.600,150.95
577,57.700,144.36
578,57.800,159.83
579,57.900,144.18
580,58.000,148.42
581,58.100,151.58
582,58.200,145.37
583,58.300,149.14
584,58.400,155.03
585,58.500,151.09
586,58.600,145.68
587,58.700,140.12
588,58.800,148.74
589,58.900,153.91
590,59.000,151.65
591,59.100,150.05
592,59.200,145.89
593,59.300,159.40
594,59.400,145.36
595,59.500,145.79
596,59.600,153.84
597,59.700,153.11
598,59.800,157.51
599,59.900,148.22
600,60.000,160.65
601,60.100,160.59
602,60.200,148.60
603,60.300,147.63
604,60.400,151.45
605,60.500,146.42
606,60.600,144.36
607,60.700,149.26
608,60.800,146.20
609,60.900,149.61
610,61.000,150.55
611,61.100,151.74
612,61.200,155.15
613,61.300,146.95
614,61.400,161.61
615,61.500,148.25
616,61.600,148.52
617,61.700,152.71
618,61.800,145.69
619,61.900,147.99
620,62.000,149.07
621,62.100,143.99
622,62.200,140.53
623,62.300,151.69
624,62.400,146.02
625,62.500,146.82
626,62.600,148.16
627,62.700,151.07
628,62.800,147.47
629,62.900,158.14
630,63.000,145.76
631,63.100,156.84
632,63.200,157.39
633,63.300,147.32
634,63.400,160.37
635,63.500,150.34
636,63.600,150.81
637,63.700,166.60
638,63.800,153.74
639,63.900,144.65
640,64.000,147.05
641,64.100,155.11
642,64.200,148.88
643,64.300,145.91
644,64.400,143.91
645,64.500,156.65
646,64.600,143.29
647,64.700,143.81
648,64.800,139.81
649,64.900,154.05
650,65.000,147.13
651,65.100,149.87
652,65.200,150.95
653,65.300,158.47
654,65.400,148.86
655,65.500,145.11
656,65.600,158.81
657,65.700,147.93
658,65.800,148.35
659,65.900,151.80
660,66.000,154.92
661,66.100,144.54
662,66.200,154.44
663,66.300,155.87
664,66.400,147.30
665,66.500,144.62
666,66.600,153.15
667,66.700,145.34
668,66.800,147.48
669,66.900,141.36
670,67.000,154.43
671,67.100,144.38
672,67.200,158.27
673,67.300,146.46
674,67.400,143.16
675,67.500,148.91
676,67.600,143.82
677,67.700,149.03
678,67.800,146.22
679,67.900,153.26
680,68.000,155.07
681,68.100,157.03
682,68.200,148.31
683,68.300,148.17
684,68.400,151.87
685,68.500,154.23
686,68.600,156.22
687,68.700,145.66
688,68.800,143.89
689,68.900,157.04
690,69.000,158.48
691,69.100,141.38
692,69.200,146.70
693,69.300,147.16
694,69.400,151.81
695,69.500,164.93
696,69.600,144.48
697,69.700,151.69
698,69.800,150.50
699,69.900,140.43
700,70.000,145.29
701,70.100,154.02
702,70.200,159.51
703,70.300,141.99
704,70.400,148.46
705,70.500,149.25
706,70.600,150.18
707,70.700,146.80
708,70.800,142.35
709,70.900,157.55
710,71.000,148.09
711,71.100,149.75
712,71.200,151.27
713,71.300,151.40
714,71.400,144.70
715,71.500,154.02
716,71.600,146.03
717,71.700,156.82
718,71.800,144.92
719,71.900,145.17
720,72.000,144.91
721,72.100,156.01
722,72.200,157.60
723,72.300,151.05
724,72.400,142.59
725,72.500,145.97
726,72.600,155.04
727,72.700,148.24
728,72.800,146.83
729,72.900,145.03
730,73.000,142.91
731,73.100,149.97
732,73.200,149.29
733,73.300,136.86
734,73.400,144.48
735,73.500,158.34
736,73.600,157.12
737,73.700,135.49
738,73.800,141.10
739,73.900,141.10
740,74.000,158.64
741,74.100,150.38
742,74.200,159.24
743,74.300,173.05
744,74.400,157.87
745,74.500,160.13
746,74.600,151.14
747,74.700,149.94
748,74.800,152.12
749,74.900,158.49
750,75.000,149.74
751,75.100,146.64
752,75.200,155.53
753,75.300,163.67
754,75.400,164.41
755,75.500,152.06
756,75.600,167.35
757,75.700,163.36
758,75.800,171.68
759,75.900,149.47
760,76.000,150.04
761,76.100,147.28
762,76.200,140.21
763,76.300,150.58
764,76.400,142.77
765,76.500,132.15
766,76.600,149.44
767,76.700,155.20
768,76.800,153.85
769,76.900,155.69
770,77.000,143.30
771,77.100,150.93
772,77.200,146.35
773,77.300,154.94
774,77.400,156.43
775,77.500,159.21
776,77.600,142.10
777,77.700,149.85
778,77.800,160.87
