target	n_total	n_valid	n_filtered	n_top100	top_cfd_pos
EP400	600	530	326	100	2.922396659851074
PEAK1	600	492	76	76	2.902360916137696
KAT7	600	533	278	100	2.8940141201019287
RNF213	600	535	90	90	2.871288537979126
EHMT2	600	575	158	100	2.9483091831207275
KAT6A	600	514	108	100	2.863621473312378
KAT5	600	521	212	100	2.8836476802825928
KMT5B	600	559	339	100	2.910175085067749
EHMT1	600	549	244	100	2.959302425384521
