smiles,name,chembl_id
COc1cc2nc(N3CCN(C(=O)C4=CC5C=CC4CC5)CC3)nc(N)c2cc1OC,,CHEMBL429379
COc1cc2nc(N3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)nc(N)c2cc1OC,,CHEMBL415285
COc1cc2nc(N3CCN(/C(S)=N/c4ccccc4)CC3)nc(N)c2cc1OC,,CHEMBL264721
O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,,CHEMBL415286
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,,CHEMBL6226
Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,,CHEMBL6236
O=C(c1ccccc1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,,CHEMBL6237
Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(=O)c1ccc(Cl)cc1,,CHEMBL6238
Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,,CHEMBL266484
CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,,CHEMBL6239
O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,,CHEMBL6240
Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,,CHEMBL6243
O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,,CHEMBL6272
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1,,CHEMBL269496
c1cncc(CN2CCN(CC3CCCCN3)CC2)c1,,CHEMBL6283
c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,,CHEMBL6284
CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,,CHEMBL6277
CN1CCCCC1CN1CCN(Cc2cccnc2)CC1,,CHEMBL268830
COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Br)cc4)CC3)nc(N)c2cc1OC,,CHEMBL6290
CCCC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,,CHEMBL6308
CC(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,,CHEMBL268150
O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1,,CHEMBL6293
COc1cc2nc(N3CCN(C(=O)c4ccc(N=C=S)c(I)c4)CC3)nc(N)c2cc1OC,,CHEMBL447227
COc1cc2nc(N3CCN(/C(S)=N/c4ccc(NC(=S)N5CC5)cc4)CC3)nc(N)c2cc1OC,,CHEMBL6302
CN1CCC[C@H]1CN1CCN(Cc2ccncc2)CC1,,CHEMBL268831
CN1CCC[C@H]1CN1CCN(Cc2cccnc2)CC1,,CHEMBL267915
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,PRAZOSIN,CHEMBL2
COC(=O)/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,,CHEMBL6306
COc1cc2nc(N3CCN(C(=O)C4OC4c4ccccc4)CC3)nc(N)c2cc1OC,,CHEMBL415103
COc1cc2nc(N3CCN(C(=O)/C=C/C(=O)c4ccccc4)CC3)nc(N)c2cc1OC,,CHEMBL6321
COc1cc2nc(N3CCN(C(=O)c4ccc5ccccc5c4)CC3)nc(N)c2cc1OC,,CHEMBL6323
COc1cc2nc(N3CCN(/C(S)=N/c4ccc(N=[N+]=[N-])cc4)CC3)nc(N)c2cc1OC,,CHEMBL6313
COc1cc2nc(N3CCN(C(=O)c4cccc(CCl)c4)CC3)nc(N)c2cc1OC,,CHEMBL266081
COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(N=C=S)cc4)CC3)nc(N)c2cc1OC,,CHEMBL6314
COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(NC(=O)CBr)cc4)CC3)nc(N)c2cc1OC,,CHEMBL6343
O=c1oc2c(O)c(O)ccc2c2ccc(O)cc12,,CHEMBL204146
O=c1oc2ccccc2c2ccccc12,,CHEMBL6355
O=c1oc2c(O)c(O)ccc2c2ccccc12,,CHEMBL6364
O=c1oc2ccccc2c2cc(O)c(O)cc12,,CHEMBL6365
O=c1oc2cc(O)c(O)cc2c2cc(O)c(O)cc12,,CHEMBL266458
COc1cc2nc(N3CCN(C(=O)COc4ccccc4)CC3)nc(N)c2cc1OC,,CHEMBL6366
CN1CCC[C@H]1c1cccnc1,NICOTINE,CHEMBL3
c1cncc([C@@H]2CCCN2)c1,NORNICOTINE,CHEMBL6200
CCC(C)(C)NC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,,CHEMBL266886
COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)NC(C)CC(C)C)C2)cc(OC)c1OC,,CHEMBL269132
CCCC(C)NC(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1,,CHEMBL269133
O=C(C1CCCCN1)N1CCN(Cc2cccnc2)CC1,SCR01020,CHEMBL6346
c1cncc(CN2CCN(C[C@@H]3CCCN3)CC2)c1,,CHEMBL414181
c1cc(CN2CCN(C[C@@H]3CCCN3)CC2)ccn1,,CHEMBL6334
O=c1oc2c(O)c(O)ccc2c2cc(F)ccc12,,CHEMBL263076
O=c1oc2c(Cl)c(Cl)ccc2c2cc(O)c(O)cc12,,CHEMBL6335
Cc1cc(O)c(O)c2oc(=O)c3ccc(F)cc3c12,,CHEMBL6336
ONC1c2cc(O)c(O)cc2-c2cc(O)c(O)cc21,,CHEMBL6353
O=C1c2cc(O)c(O)cc2-c2cc(O)c(O)cc21,,CHEMBL6345
O=c1oc2c(F)c(F)ccc2c2cc(O)c(O)cc12,,CHEMBL268770
O=c1oc2cc(O)c(O)cc2c2cc(F)ccc12,,CHEMBL6349
C[C@]12CCC3C(CC=C4C[C@@H](O)[C@H]5COC[C@]43C5)C1CC[C@@H]2OC1CC1,,CHEMBL413593
C[C@]12CCC(=O)C=C1C(=O)CC1C2CC[C@@]2(C)C1CC[C@@H]2OC1CC1,,CHEMBL267358
O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,,CHEMBL6338
COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)NCC(C)(C)C)C2)cc(OC)c1OC,,CHEMBL269134
COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)NC(C)(C)C)C2)cc(OC)c1OC,,CHEMBL6359
