#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
27.0%,2700000,5400.000000182626,-1529462.7245873082,246125.72891710492,302.31850499369654,1.0281353073397907
27.5%,2750000,5500.000000202998,-1530751.0032616975,244397.81275776026,300.19608962352834,1.0301748566999638
28.0%,2800000,5600.000000223371,-1531970.1558739264,245339.34192748784,301.3525785946422,1.0293229730262745
28.5%,2850000,5700.000000243744,-1530974.9092005305,245491.30102245315,301.5392313538325,1.0284760403702504
29.0%,2900000,5800.000000264116,-1531828.718340056,243100.56803338934,298.60267195277817,1.0290696979024068
29.5%,2950000,5900.000000284489,-1531453.4128858764,244489.0837286273,300.3081985996327,1.0293178021719132
30.0%,3000000,6000.000000304862,-1532261.6005689949,242948.70968160164,298.41614293736296,1.0276989513783994
30.5%,3050000,6100.000000325234,-1531102.6932219965,244127.8617129033,299.86450626301695,1.027534338692714
31.0%,3100000,6200.000000345607,-1532258.5301185101,243927.92619355425,299.61892361885094,1.0271886594333994
31.5%,3150000,6300.00000036598,-1530536.4841938457,244937.17003685381,300.8585871486365,1.0291010101072595
32.0%,3200000,6400.000000386352,-1534071.8788714455,244777.714742812,300.6627267389177,1.0283435491216193
32.5%,3250000,6500.000000406725,-1533014.1419713646,244765.80538614665,300.6480983661817,1.0297737704637842
33.0%,3300000,6600.000000427098,-1533656.099847613,244093.81165253193,299.822682259522,1.028361511683805
33.5%,3350000,6700.0000004474705,-1532132.443732421,243212.3184189023,298.73993598295243,1.030571245311343
34.0%,3400000,6800.000000467843,-1531615.6992759556,243781.86864846174,299.4395197878509,1.030897516493193
34.5%,3450000,6900.000000488216,-1532019.6138125546,244075.57442598493,299.80028130579336,1.0279009813625477
35.0%,3500000,7000.0000005085885,-1529552.3517192341,244497.2753305178,300.31826041985744,1.0286096586888764
35.5%,3550000,7100.000000528961,-1532791.8792001335,242746.42945195537,298.1676802638932,1.02868150237813
36.0%,3600000,7200.000000549334,-1531933.45462503,244391.48957720958,300.18832280248404,1.031046238936552
36.5%,3650000,7300.000000569707,-1532814.7316556657,244867.6122451237,300.77314867091604,1.026940392206953
37.0%,3700000,7400.000000590079,-1530506.8573714774,243938.11082786886,299.63143349920136,1.0296945528327306
37.5%,3750000,7500.000000610452,-1533887.0296349917,244137.35662076977,299.8761689460037,1.0310509430953894
38.0%,3800000,7600.000000630825,-1531511.924068939,244190.92090225863,299.94196244744717,1.030362808548278
38.5%,3850000,7700.000000651197,-1532802.1487403912,245615.16791794033,301.69137820506444,1.027881608065107
39.0%,3900000,7800.00000067157,-1532334.1671760418,244061.34256548987,299.7828001801626,1.0286163620482793
39.5%,3950000,7900.000000691943,-1530559.6652970882,246413.1336071976,302.6715268277782,1.0287549574992518
40.0%,4000000,8000.000000712315,-1532960.2529911855,244552.65615545693,300.3862851983907,1.0310672063127357
40.5%,4050000,8100.000000732688,-1532426.9773742286,245285.0716624844,301.2859179271304,1.0302563895063783
41.0%,4100000,8200.00000075306,-1533934.1106593078,243408.97694640886,298.98149346778604,1.03026857565215
41.5%,4150000,8300.000000773432,-1532552.6623882074,245069.13576478997,301.02068187053163,1.0287954652616593
42.0%,4200000,8400.000000793805,-1533876.0891923103,244804.06072872743,300.69508775663644,1.030441720946475
42.5%,4250000,8500.000000814178,-1532319.7427165965,243578.22142812595,299.1893780270975,1.0299157761086202
43.0%,4300000,8600.00000083455,-1533092.2649182081,243444.66016871698,299.02532349916476,1.029657632687666
43.5%,4350000,8700.000000854923,-1532003.8511460414,244707.6450239607,300.5766594563883,1.029383186316359
44.0%,4400000,8800.000000875296,-1533831.2684368622,244512.56418926304,300.33703986619673,1.0311536012044467
44.5%,4450000,8900.000000895669,-1532068.2455787612,244409.4845438917,300.2104261861843,1.0283222535988417
45.0%,4500000,9000.000000916041,-1532294.9680874348,245234.93061000886,301.22432920948626,1.0300785590696098
45.5%,4550000,9100.000000936414,-1531671.4191717925,245455.74262079544,301.495554640811,1.0324142016633222
46.0%,4600000,9200.000000956787,-1531745.1534327706,243238.2898480067,298.7718369290825,1.0276145150199636
46.5%,4650000,9300.00000097716,-1533742.8315939447,244009.0781509736,299.71860331732165,1.031422149769224
47.0%,4700000,9400.000000997532,-1531543.003148743,245285.3378413827,301.2862448771284,1.0305982308828834
47.5%,4750000,9500.000001017905,-1533348.5467993757,245126.96780603947,301.0917175006879,1.0307146216134146
48.0%,4800000,9600.000001038277,-1532795.5702745495,244023.18823990348,299.7359348698146,1.0295976900134438
48.5%,4850000,9700.00000105865,-1531552.115000424,244667.291714231,300.5270931135167,1.0299121314960389
49.0%,4900000,9800.000001079023,-1532652.153264585,242656.9029281737,298.05771400824796,1.0293275500129713
49.5%,4950000,9900.000001099395,-1529930.2746936008,244401.57406676223,300.2007096740988,1.0304489404267212
50.0%,5000000,10000.000001119768,-1531411.2975322641,243837.57855943788,299.5079487858014,1.0291823053517535
50.5%,5050000,10100.00000114014,-1530504.1939394185,244129.34707459869,299.86633074649984,1.0292638973856918
51.0%,5100000,10200.000001160513,-1533733.495585504,243128.4770985634,298.63695291518025,1.0317275594189321
51.5%,5150000,10300.000001180886,-1532058.585769033,245440.9334790841,301.4773644353331,1.0301212931732313
52.0%,5200000,10400.000001201259,-1531331.7403798262,245328.33805679972,301.3390624386913,1.0312894445479377
52.5%,5250000,10500.000001221631,-1532299.584995878,246056.95854814036,302.2340337146283,1.031128119960753
53.0%,5300000,10600.000001242004,-1534401.202260754,244426.0488286733,300.2307722500984,1.028628226749662
53.5%,5350000,10700.000001262377,-1533743.0822201744,243516.28526724273,299.11330126890704,1.027652607197013
54.0%,5400000,10800.00000128275,-1530799.474618922,242653.98827828263,298.0541339168795,1.0321833923029837
54.5%,5450000,10900.000001303122,-1532236.1376813613,245045.20011392023,300.991281489601,1.0303685938743614
55.0%,5500000,11000.000001323495,-1533548.93294058,244976.38752728322,300.906758354176,1.0316110649606192
55.5%,5550000,11100.000001343868,-1534541.0467591817,245457.9805029233,301.4983034520882,1.0305568438611277
56.0%,5600000,11200.00000136424,-1533560.5129421493,244286.7975736606,300.05972864803715,1.0287379292916023
56.5%,5650000,11300.000001384613,-1532304.3049719268,245062.8041679978,301.0129047117403,1.029860951194542
57.0%,5700000,11400.000001404986,-1531196.4747771202,244574.01563744835,300.41252124730556,1.0289665531493783
57.5%,5750000,11500.000001425358,-1531974.6887237467,244386.70741562216,300.18244882925865,1.0291656726754088
58.0%,5800000,11600.000001445731,-1531697.7623762302,245185.16294695088,301.1631991295108,1.028921669623762
58.5%,5850000,11700.000001466104,-1531339.0127013614,243322.96607400262,298.87584551918076,1.028472711903584
59.0%,5900000,11800.000001486476,-1532849.7679363433,243906.77695273916,299.59294581111385,1.0331210889275624
59.5%,5950000,11900.000001506849,-1532920.5846805694,244520.89777588722,300.3472760875806,1.0301685960220583
60.0%,6000000,12000.000001527222,-1534349.3319927165,243188.68550347572,298.7109074547614,1.0319957855107371
60.5%,6050000,12100.000001547594,-1531896.0710351532,245541.2094684657,301.60053435881076,1.027700223539695
61.0%,6100000,12200.000001567967,-1531895.2959907046,243950.78315937173,299.6469990409738,1.0279207962043257
61.5%,6150000,12300.00000158834,-1532221.436943273,245421.29305364905,301.4532399194562,1.0290485521312573
62.0%,6200000,12400.000001608712,-1531644.362778319,244710.19404185918,300.57979043860485,1.0295137501597087
62.5%,6250000,12500.000001629085,-1529974.8464972898,245913.35515198344,302.0576443374219,1.0287215950721156
63.0%,6300000,12600.000001649458,-1531128.8867770638,244529.1807018684,300.35745008202895,1.0289590357057807
63.5%,6350000,12700.00000166983,-1533048.4727985226,243919.89760347258,299.6090620275359,1.0270369084383182
64.0%,6400000,12800.000001690203,-1531772.2458931617,243698.33344815078,299.336912730135,1.0296534322880528
64.5%,6450000,12900.000001710576,-1534195.1548273573,243423.81217321026,298.9997157138209,1.0295513267445235
65.0%,6500000,13000.000001730948,-1533271.6705667349,245833.65079673304,301.9597427420592,1.0278388780881549
65.5%,6550000,13100.000001751321,-1530451.9702788228,244961.5084328163,300.88848222508256,1.0285352625080102
66.0%,6600000,13200.000001771694,-1532285.1495359372,244776.58804097294,300.6613428006474,1.0283017258139424
66.5%,6650000,13300.000001792067,-1533833.3267593272,245221.04940089284,301.2072787921816,1.0302494655147378
67.0%,6700000,13400.00000181244,-1532619.6409654226,245588.56313882058,301.6586993092636,1.03203512291649
67.5%,6750000,13500.000001832812,-1530557.3480195664,244679.539344395,300.54213699071386,1.0302504736440543
68.0%,6800000,13600.000001853185,-1531907.5271404972,245870.33137677558,302.0047978371504,1.026904002312312
68.5%,6850000,13700.000001873557,-1532969.3220824003,243711.3267124107,299.3528724765757,1.0298864910985035
69.0%,6900000,13800.00000189393,-1531972.8719008826,245370.85364315155,301.3912847258994,1.0309857445488677
69.5%,6950000,13900.000001914303,-1533625.050841299,245177.13826490988,301.15334233847824,1.0313721282194035
70.0%,7000000,14000.000001934675,-1531431.9417057484,244335.02073985938,300.11896160826205,1.0314764466318138
70.5%,7050000,14100.000001955048,-1530558.040065717,243643.79660070152,299.26992461694397,1.0286956624782821
71.0%,7100000,14200.00000197542,-1532949.243305155,244350.11247102506,300.1374989209756,1.0289572580938329
71.5%,7150000,14300.000001995793,-1533669.6202823007,244193.3517786206,299.9449483153237,1.0315436821009456
72.0%,7200000,14400.000002016166,-1531848.0136689339,244863.46395376872,300.76805328634885,1.028258216685788
72.5%,7250000,14500.000002036539,-1531440.1399689633,243888.85923843467,299.5709373172222,1.0297505526015407
73.0%,7300000,14600.000002056911,-1530369.4578905506,243448.32140246296,299.02982062637443,1.0282162472082357
73.5%,7350000,14700.000002077284,-1530856.8279016102,245173.15332501184,301.14844760001364,1.0304222389554754
74.0%,7400000,14800.000002097657,-1532072.4871824067,244684.0164983559,300.5476363202559,1.0308344661388458
74.5%,7450000,14900.00000211803,-1534100.7206791844,244669.21953897196,300.52946107844315,1.0309858703065198
75.0%,7500000,15000.000002138402,-1532788.3125911243,244355.57237459903,300.14420537093986,1.0301552345931246
75.5%,7550000,15100.000002158775,-1534215.813300386,245519.32401488672,301.57365225413923,1.028668364332503
76.0%,7600000,15200.000002179147,-1532738.0691160606,245260.02453934186,301.25515231454625,1.030548897101832
76.5%,7650000,15300.00000219952,-1532162.6377350697,244799.9053886425,300.6899837140492,1.028049912943454
77.0%,7700000,15400.000002219893,-1533264.4479159992,243950.31823129844,299.64642796552926,1.0305373379653224
77.5%,7750000,15500.000002240266,-1532440.8622869356,244200.13983030332,299.95328614187105,1.0304030408139713
78.0%,7800000,15600.000002260638,-1533022.7147968533,244595.926025948,300.43943397977034,1.0309779916992619
78.5%,7850000,15700.00000228101,-1532002.39718006,243035.34229172792,298.5225545721494,1.0278199358815927
79.0%,7900000,15800.000002301384,-1532086.626748194,244562.42339098026,300.3982823839524,1.0286888266772412
79.5%,7950000,15900.000002321756,-1533672.9196277587,244631.29188087804,300.4828741858687,1.0293467887064092
80.0%,8000000,16000.000002342129,-1532555.1080831569,243878.70972852077,299.5584705804975,1.0304254043060928
80.5%,8050000,16100.000002362502,-1532127.3836387228,244637.6395111761,300.4906710387634,1.0298704136432624
81.0%,8100000,16200.000002382874,-1530745.28280959,244675.29479457444,300.53692337098477,1.0287227182414447
81.5%,8150000,16300.000002403247,-1532901.8010110576,243762.3754232808,299.41557607940507,1.0320202838012922
82.0%,8200000,16400.000002423618,-1530925.3539189873,245663.23133937005,301.7504149493148,1.0317847983889257
82.5%,8250000,16500.00000244399,-1530020.359083728,245128.1011078027,301.093109545706,1.0296017399174657
83.0%,8300000,16600.000002464363,-1531327.3647660064,244428.632123657,300.2339453351752,1.029242585755961
83.5%,8350000,16700.000002484736,-1532440.0283446293,243931.19290989387,299.62293615668835,1.0314752848579927
84.0%,8400000,16800.00000250511,-1530229.1672048476,244127.07804920513,299.8635436816619,1.0291134987405348
84.5%,8450000,16900.00000252548,-1532181.8267286718,244186.9814211308,299.9371235464096,1.031327298803164
85.0%,8500000,17000.000002545854,-1533317.740691428,244108.12138575784,299.8402590369469,1.0293655595263573
85.5%,8550000,17100.000002566227,-1531660.1448137723,245583.80019184557,301.652848937524,1.028476636567371
86.0%,8600000,17200.0000025866,-1534553.1968425186,245156.41769585418,301.12789107222056,1.031338558122038
86.5%,8650000,17300.000002606972,-1532612.5932256766,244788.12948525976,300.67551926321227,1.0288128336495805
87.0%,8700000,17400.000002627345,-1531649.3703405354,244316.11380042045,300.0957380400056,1.0296228976979005
87.5%,8750000,17500.000002647717,-1532885.1718868762,244468.5615612519,300.28299103199055,1.0295384113434798
88.0%,8800000,17600.00000266809,-1531802.3656996386,244738.0951505894,300.6140616280335,1.025858800633137
88.5%,8850000,17700.000002688463,-1532711.7278033309,243774.9316836102,299.43099904988355,1.0318066633918455
89.0%,8900000,17800.000002708835,-1534747.697751142,244916.62258378707,300.8333485223462,1.0298726797639115
89.5%,8950000,17900.000002729208,-1529785.6078557568,245499.1944216268,301.5489268889072,1.0280538107333868
90.0%,9000000,18000.00000274958,-1530625.7650626637,243896.96758161488,299.5808968700045,1.0294653450703841
90.5%,9050000,18100.000002769953,-1530833.1190088429,245324.0964674964,301.33385245539284,1.0291070013424253
91.0%,9100000,18200.000002790326,-1532647.9561236445,243860.126656766,299.5356448219073,1.0311162254994835
91.5%,9150000,18300.0000028107,-1531927.0262943748,245647.40511886976,301.730975456571,1.0286949899736952
92.0%,9200000,18400.00000283107,-1532462.6480888128,244536.49053441265,300.3664288168254,1.0294302905677413
92.5%,9250000,18500.000002851444,-1532537.9388175113,244887.27319168497,300.79729839308175,1.030829164449156
93.0%,9300000,18600.000002871817,-1533069.871551117,242957.0093766083,298.4263375293601,1.029730758082881
93.5%,9350000,18700.00000289219,-1533457.1342819436,243600.72506781123,299.2170194554703,1.029365920949935
94.0%,9400000,18800.000002912562,-1532147.4092215504,243977.53865454337,299.67986306269245,1.0301949731971312
94.5%,9450000,18900.000002932935,-1530986.0535922395,243185.8967582073,298.7074820132033,1.0306211675452162
95.0%,9500000,19000.000002953308,-1530611.6813959898,245612.47609882063,301.6880718187896,1.029182907897478
95.5%,9550000,19100.00000297368,-1531903.071272674,242839.63872439566,298.2821700737138,1.0295411449608531
96.0%,9600000,19200.000002994053,-1532435.545586463,243697.53673359126,299.3359341182865,1.031244757231608
96.5%,9650000,19300.000003014426,-1531619.0592321279,243064.4705715413,298.5583331071484,1.0304287424597105
97.0%,9700000,19400.0000030348,-1531799.0242358157,243364.90663325565,298.927361495295,1.0297279523297564
97.5%,9750000,19500.00000305517,-1532582.8760682996,245570.6652541138,301.63671517225,1.030543636311865
98.0%,9800000,19600.000003075544,-1531637.6344367387,244409.35260892223,300.2102641292433,1.0327083815441014
98.5%,9850000,19700.000003095916,-1531992.7200500742,244116.16726739574,299.85014186764016,1.030807690906612
99.0%,9900000,19800.00000311629,-1531831.1798624778,243958.76043738544,299.65679760520203,1.0278215190015374
99.5%,9950000,19900.00000313666,-1533033.1853568219,245118.79784857022,301.0816822665056,1.0294048025809985
100.0%,10000000,20000.000003157034,-1533113.8987640878,244305.4679833971,300.08266168467657,1.0283943964064282
100.5%,10050000,20100.000003177407,-1530562.1435801787,244249.76371870676,300.01423962211106,1.028495149031205
