#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
21.0%,2100000,4199.999999938153,-6966632.158179641,1089131.0134653663,300.27141063492905,0.9587496161795672,40.6
21.5%,2150000,4299.999999958526,-6972086.542880446,1090649.0732238847,300.6899369090713,0.9587496161795672,40.6
22.0%,2200000,4399.999999978899,-6964618.36079203,1090782.2648649795,300.7266575987422,0.9587496161795672,40.6
22.5%,2250000,4499.9999999992715,-6968590.008796584,1086965.3943437063,299.67435343931237,0.9587496161795672,40.6
23.0%,2300000,4600.000000019644,-6968374.416002315,1090549.0341393352,300.66235631806353,0.9587496161795672,40.6
23.5%,2350000,4700.000000040017,-6968964.62029219,1089502.5250571007,300.37383569521853,0.9587496161795672,40.6
24.0%,2400000,4800.0000000603895,-6965852.225964025,1086902.8183165598,299.65710134409983,0.9587496161795672,40.6
24.5%,2450000,4900.000000080762,-6971005.135691848,1088781.3464739975,300.1750080906505,0.9587496161795672,40.6
25.0%,2500000,5000.000000101135,-6966483.965796005,1090883.7581459642,300.75463910902374,0.9587496161795672,40.6
25.5%,2550000,5100.000000121508,-6971868.070617065,1089125.782983873,300.26996860083324,0.9587496161795672,40.6
26.0%,2600000,5200.00000014188,-6969200.041228205,1086613.0682087988,299.5772177740671,0.9587496161795672,40.6
26.5%,2650000,5300.000000162253,-6966306.187811609,1090072.840307654,300.53107055739133,0.9587496161795672,40.6
27.0%,2700000,5400.000000182626,-6967282.143711071,1087200.8976184148,299.7392812575744,0.9587496161795672,40.6
27.5%,2750000,5500.000000202998,-6967499.441629261,1089590.3730618958,300.3980552280343,0.9587496161795672,40.6
28.0%,2800000,5600.000000223371,-6970039.7403345555,1088892.9232623593,300.20576960530883,0.9587496161795672,40.6
28.5%,2850000,5700.000000243744,-6966136.373505712,1092310.5306581524,301.14799765780543,0.9587496161795672,40.6
29.0%,2900000,5800.000000264116,-6969705.512125943,1087174.5253923833,299.73201048352234,0.9587496161795672,40.6
29.5%,2950000,5900.000000284489,-6969343.271255631,1090839.6299046972,300.7424730343364,0.9587496161795672,40.6
30.0%,3000000,6000.000000304862,-6967067.634572852,1089330.574883475,300.3264293496502,0.9587496161795672,40.6
30.5%,3050000,6100.000000325234,-6970168.490459576,1088842.0604646718,300.19174682584367,0.9587496161795672,40.6
31.0%,3100000,6200.000000345607,-6966267.227426019,1087969.426334131,299.95116320632854,0.9587496161795672,40.6
31.5%,3150000,6300.00000036598,-6972230.220029157,1090957.69033862,300.7750220781116,0.9587496161795672,40.6
32.0%,3200000,6400.000000386352,-6971724.234531477,1090436.0823348637,300.63121571400114,0.9587496161795672,40.6
32.5%,3250000,6500.000000406725,-6966115.282338135,1089737.1081857192,300.4385098309016,0.9587496161795672,40.6
33.0%,3300000,6600.000000427098,-6964008.943877354,1089221.713074657,300.29641634984216,0.9587496161795672,40.6
33.5%,3350000,6700.0000004474705,-6963115.686935954,1089025.3237336264,300.24227217091806,0.9587496161795672,40.6
34.0%,3400000,6800.000000467843,-6964130.565244224,1092062.378758665,301.07958263703233,0.9587496161795672,40.6
34.5%,3450000,6900.000000488216,-6970961.1717719585,1089324.1612931194,300.32466113462425,0.9587496161795672,40.6
35.0%,3500000,7000.0000005085885,-6968106.679510128,1090132.738236778,300.54758430592085,0.9587496161795672,40.6
35.5%,3550000,7100.000000528961,-6965229.407924954,1091480.5353164177,300.91916947368264,0.9587496161795672,40.6
36.0%,3600000,7200.000000549334,-6966872.691205181,1089474.2938308155,300.3660523982269,0.9587496161795672,40.6
36.5%,3650000,7300.000000569707,-6974373.284091074,1088723.4717018877,300.1590521227763,0.9587496161795672,40.6
37.0%,3700000,7400.000000590079,-6965236.679387141,1090247.3137319132,300.5791725585031,0.9587496161795672,40.6
37.5%,3750000,7500.000000610452,-6970281.790329963,1087283.3971186806,299.7620262175611,0.9587496161795672,40.6
38.0%,3800000,7600.000000630825,-6965796.786477063,1090422.912050073,300.6275846907875,0.9587496161795672,40.6
38.5%,3850000,7700.000000651197,-6968972.601136241,1088491.1665185455,300.0950060124025,0.9587496161795672,40.6
39.0%,3900000,7800.00000067157,-6970296.151063912,1088700.7124401126,300.1527774363027,0.9587496161795672,40.6
39.5%,3950000,7900.000000691943,-6971619.876225401,1087702.161448228,299.87747877046996,0.9587496161795672,40.6
40.0%,4000000,8000.000000712315,-6966160.82710677,1088188.0368022637,300.01143370899,0.9587496161795672,40.6
40.5%,4050000,8100.000000732688,-6972611.801778596,1088621.642859633,300.1309780988719,0.9587496161795672,40.6
41.0%,4100000,8200.00000075306,-6968707.874751657,1088955.3000883241,300.2229667811231,0.9587496161795672,40.6
41.5%,4150000,8300.000000773432,-6970987.858050361,1089561.8603223201,300.39019431834794,0.9587496161795672,40.6
42.0%,4200000,8400.000000793805,-6965781.728666142,1089159.3533955403,300.2792239013823,0.9587496161795672,40.6
42.5%,4250000,8500.000000814178,-6971589.284306854,1088178.5074957167,300.00880649675946,0.9587496161795672,40.6
43.0%,4300000,8600.00000083455,-6965769.468156479,1090054.0048963497,300.5258776692517,0.9587496161795672,40.6
43.5%,4350000,8700.000000854923,-6965892.263113499,1089336.671336831,300.3281101305907,0.9587496161795672,40.6
44.0%,4400000,8800.000000875296,-6968567.1703794785,1088696.1028510397,300.1515065811014,0.9587496161795672,40.6
44.5%,4450000,8900.000000895669,-6969881.535849895,1085539.7067615904,299.28129400374957,0.9587496161795672,40.6
45.0%,4500000,9000.000000916041,-6965072.343266353,1090702.5289143077,300.704674544279,0.9587496161795672,40.6
45.5%,4550000,9100.000000936414,-6967601.27138564,1090938.4480282264,300.76971700864397,0.9587496161795672,40.6
46.0%,4600000,9200.000000956787,-6969809.112600762,1088206.9534725286,300.016649000075,0.9587496161795672,40.6
46.5%,4650000,9300.00000097716,-6969030.257647678,1087619.1515756813,299.85459310178726,0.9587496161795672,40.6
47.0%,4700000,9400.000000997532,-6967956.463871393,1084714.4024851844,299.0537591376814,0.9587496161795672,40.6
47.5%,4750000,9500.000001017905,-6966335.818198994,1089249.895493575,300.3041861907327,0.9587496161795672,40.6
48.0%,4800000,9600.000001038277,-6969395.787374124,1090121.4673868143,300.54447695338405,0.9587496161795672,40.6
48.5%,4850000,9700.00000105865,-6964668.776848007,1090129.0701787667,300.5465730290959,0.9587496161795672,40.6
49.0%,4900000,9800.000001079023,-6964854.194331747,1086555.7556190488,299.5614167988321,0.9587496161795672,40.6
49.5%,4950000,9900.000001099395,-6964588.922209326,1087962.430646353,299.9492345081173,0.9587496161795672,40.6
50.0%,5000000,10000.000001119768,-6961971.823474124,1090434.6008804347,300.63080727974875,0.9587496161795672,40.6
50.5%,5050000,10100.00000114014,-6969000.6134080775,1088345.1876786803,300.05475991562696,0.9587496161795672,40.6
51.0%,5100000,10200.000001160513,-6973102.226360664,1093446.267312167,301.46111815753824,0.9587496161795672,40.6
51.5%,5150000,10300.000001180886,-6967797.194585629,1088766.455703434,300.17090273268417,0.9587496161795672,40.6
52.0%,5200000,10400.000001201259,-6965966.418915402,1093254.11767619,301.4081428574738,0.9587496161795672,40.6
52.5%,5250000,10500.000001221631,-6967179.118505508,1091198.7288996945,300.8414759646105,0.9587496161795672,40.6
53.0%,5300000,10600.000001242004,-6967005.272538289,1087715.1991044576,299.881073228234,0.9587496161795672,40.6
53.5%,5350000,10700.000001262377,-6974327.197681744,1087443.870059412,299.80626831119946,0.9587496161795672,40.6
54.0%,5400000,10800.00000128275,-6968343.036996901,1089043.996803663,300.2474203018696,0.9587496161795672,40.6
54.5%,5450000,10900.000001303122,-6973449.8222248815,1087388.3755934588,299.7909685893403,0.9587496161795672,40.6
55.0%,5500000,11000.000001323495,-6967106.283191517,1087216.190617039,299.7434975090749,0.9587496161795672,40.6
55.5%,5550000,11100.000001343868,-6971476.910700049,1088694.1047454448,300.150955707076,0.9587496161795672,40.6
56.0%,5600000,11200.00000136424,-6968267.601847023,1089474.315944047,300.366058494804,0.9587496161795672,40.6
56.5%,5650000,11300.000001384613,-6967131.612781242,1089697.862805537,300.427689952005,0.9587496161795672,40.6
57.0%,5700000,11400.000001404986,-6974076.577863365,1091582.099592757,300.9471705572524,0.9587496161795672,40.6
57.5%,5750000,11500.000001425358,-6967556.378834512,1088158.0417671488,300.00316413315875,0.9587496161795672,40.6
58.0%,5800000,11600.000001445731,-6968481.278117299,1091126.0851617455,300.8214482201077,0.9587496161795672,40.6
58.5%,5850000,11700.000001466104,-6969986.830704141,1089407.474385745,300.3476304005231,0.9587496161795672,40.6
59.0%,5900000,11800.000001486476,-6970327.499666225,1084818.9276976576,299.08257654587953,0.9587496161795672,40.6
59.5%,5950000,11900.000001506849,-6967543.354631539,1089237.7599600458,300.30084044653256,0.9587496161795672,40.6
60.0%,6000000,12000.000001527222,-6968442.853469089,1087053.5991440425,299.6986713400004,0.9587496161795672,40.6
60.5%,6050000,12100.000001547594,-6967816.520506807,1085894.5947775624,299.3791359748769,0.9587496161795672,40.6
61.0%,6100000,12200.000001567967,-6965104.097572748,1089864.3907440228,300.47360139735093,0.9587496161795672,40.6
61.5%,6150000,12300.00000158834,-6973343.548324384,1090351.4653438365,300.60788696571893,0.9587496161795672,40.6
62.0%,6200000,12400.000001608712,-6972144.949041802,1089476.959443721,300.3667873027861,0.9587496161795672,40.6
62.5%,6250000,12500.000001629085,-6968710.830370016,1087650.1853697936,299.8631490615572,0.9587496161795672,40.6
63.0%,6300000,12600.000001649458,-6966184.956752513,1089023.0689156859,300.24165052177267,0.9587496161795672,40.6
63.5%,6350000,12700.00000166983,-6975517.767967854,1091267.5563260983,300.8604515590625,0.9587496161795672,40.6
64.0%,6400000,12800.000001690203,-6964937.595950667,1088278.8566152446,300.0364725638387,0.9587496161795672,40.6
64.5%,6450000,12900.000001710576,-6961924.495998528,1089659.745418904,300.4171810588485,0.9587496161795672,40.6
65.0%,6500000,13000.000001730948,-6969048.59701008,1090655.0606701644,300.691587636962,0.9587496161795672,40.6
65.5%,6550000,13100.000001751321,-6971071.481049765,1089045.1604787183,300.2477411249351,0.9587496161795672,40.6
66.0%,6600000,13200.000001771694,-6969757.556964252,1089149.4896180136,300.2765044761198,0.9587496161795672,40.6
66.5%,6650000,13300.000001792067,-6969741.551520638,1089209.1622932851,300.292956122578,0.9587496161795672,40.6
67.0%,6700000,13400.00000181244,-6970155.148912739,1087765.3711870364,299.8949055788183,0.9587496161795672,40.6
67.5%,6750000,13500.000001832812,-6963922.050345719,1087895.6064594341,299.93081120309466,0.9587496161795672,40.6
68.0%,6800000,13600.000001853185,-6972910.950973347,1088211.2306566911,300.01782821185594,0.9587496161795672,40.6
68.5%,6850000,13700.000001873557,-6964356.909298349,1089279.6348847246,300.31238528599454,0.9587496161795672,40.6
69.0%,6900000,13800.00000189393,-6968525.253925219,1084852.278444258,299.09177128517507,0.9587496161795672,40.6
69.5%,6950000,13900.000001914303,-6967188.251763348,1089234.3103828863,300.29988940447515,0.9587496161795672,40.6
70.0%,7000000,14000.000001934675,-6968937.745330326,1090913.336476788,300.7627938002508,0.9587496161795672,40.6
70.5%,7050000,14100.000001955048,-6970192.8403636515,1087319.1660529263,299.7718876467281,0.9587496161795672,40.6
71.0%,7100000,14200.00000197542,-6970959.421715196,1086686.0669016847,299.59734337899096,0.9587496161795672,40.6
71.5%,7150000,14300.000001995793,-6971097.594258074,1089877.0575962765,300.477093625143,0.9587496161795672,40.6
72.0%,7200000,14400.000002016166,-6969084.86807346,1091373.7641257453,300.8897328534395,0.9587496161795672,40.6
72.5%,7250000,14500.000002036539,-6968572.718534283,1087563.951304157,299.8393744887893,0.9587496161795672,40.6
73.0%,7300000,14600.000002056911,-6967883.916595105,1087426.2925296884,299.80142221869056,0.9587496161795672,40.6
73.5%,7350000,14700.000002077284,-6968835.397168137,1088975.904312974,300.2286473278381,0.9587496161795672,40.6
74.0%,7400000,14800.000002097657,-6969411.536036093,1087654.9809094183,299.8644711829825,0.9587496161795672,40.6
74.5%,7450000,14900.00000211803,-6968505.218555354,1089944.373418945,300.49565247323454,0.9587496161795672,40.6
75.0%,7500000,15000.000002138402,-6969962.05632627,1086098.0117828865,299.4352176678786,0.9587496161795672,40.6
75.5%,7550000,15100.000002158775,-6967494.476581536,1089763.2000407109,300.44570330717534,0.9587496161795672,40.6
76.0%,7600000,15200.000002179147,-6971051.01831653,1090057.4987601687,300.5268409210594,0.9587496161795672,40.6
76.5%,7650000,15300.00000219952,-6967952.578837838,1086469.7123752027,299.5376948352797,0.9587496161795672,40.6
77.0%,7700000,15400.000002219893,-6971225.842920467,1089231.3527499556,300.2990739905339,0.9587496161795672,40.6
77.5%,7750000,15500.000002240266,-6968885.402098961,1088211.329423227,300.01785544160765,0.9587496161795672,40.6
78.0%,7800000,15600.000002260638,-6970407.436285723,1089029.2102060611,300.2433436641966,0.9587496161795672,40.6
78.5%,7850000,15700.00000228101,-6971414.321951415,1088098.3207910466,299.98669917025074,0.9587496161795672,40.6
79.0%,7900000,15800.000002301384,-6971824.638841968,1087367.9589160127,299.7853397490434,0.9587496161795672,40.6
79.5%,7950000,15900.000002321756,-6969630.704027332,1091078.6637497586,300.80837422432984,0.9587496161795672,40.6
80.0%,8000000,16000.000002342129,-6968335.855570219,1090936.9472199725,300.76930323857783,0.9587496161795672,40.6
80.5%,8050000,16100.000002362502,-6968503.550409697,1092128.9422923273,301.0979340804331,0.9587496161795672,40.6
81.0%,8100000,16200.000002382874,-6968513.639698029,1088879.8522764714,300.20216595861945,0.9587496161795672,40.6
81.5%,8150000,16300.000002403247,-6966611.073829632,1090055.5480158115,300.52630310443976,0.9587496161795672,40.6
82.0%,8200000,16400.000002423618,-6963939.201447584,1091420.553088658,300.9026324841747,0.9587496161795672,40.6
82.5%,8250000,16500.00000244399,-6970794.282533057,1090437.7009252976,300.63166195639695,0.9587496161795672,40.6
83.0%,8300000,16600.000002464363,-6974570.179833487,1089831.8947235967,300.4646423044844,0.9587496161795672,40.6
83.5%,8350000,16700.000002484736,-6967635.635393839,1090767.5160961426,300.72259139038977,0.9587496161795672,40.6
84.0%,8400000,16800.00000250511,-6967430.206445046,1091118.9165745087,300.81947185383467,0.9587496161795672,40.6
84.5%,8450000,16900.00000252548,-6966873.842694171,1087768.811732411,299.89585413082915,0.9587496161795672,40.6
85.0%,8500000,17000.000002545854,-6970296.900913,1088092.1388963533,299.9849948332913,0.9587496161795672,40.6
85.5%,8550000,17100.000002566227,-6970675.486461397,1090985.1323950684,300.78258780243544,0.9587496161795672,40.6
86.0%,8600000,17200.0000025866,-6967892.482160404,1090917.6571136476,300.7639849918601,0.9587496161795672,40.6
86.5%,8650000,17300.000002606972,-6968762.574106075,1089027.551297076,300.24288630605054,0.9587496161795672,40.6
87.0%,8700000,17400.000002627345,-6968853.990155712,1088960.9371292081,300.2245209028928,0.9587496161795672,40.6
87.5%,8750000,17500.000002647717,-6969582.038722165,1088892.6297830425,300.2056886936027,0.9587496161795672,40.6
88.0%,8800000,17600.00000266809,-6970933.492393732,1088455.2324206666,300.08509904792663,0.9587496161795672,40.6
88.5%,8850000,17700.000002688463,-6967245.750324536,1089296.8807565086,300.3171399410215,0.9587496161795672,40.6
89.0%,8900000,17800.000002708835,-6973229.944785263,1090682.9571850053,300.6992786546261,0.9587496161795672,40.6
89.5%,8950000,17900.000002729208,-6964880.553790398,1090193.3567593289,300.5642967207285,0.9587496161795672,40.6
90.0%,9000000,18000.00000274958,-6967087.078775223,1089205.0741483383,300.29182902856,0.9587496161795672,40.6
90.5%,9050000,18100.000002769953,-6970627.8574645035,1089965.3502690191,300.50143575209137,0.9587496161795672,40.6
91.0%,9100000,18200.000002790326,-6971046.493270449,1089128.8932873304,300.27082610575695,0.9587496161795672,40.6
91.5%,9150000,18300.0000028107,-6968240.678632665,1090012.1262042688,300.51433179112394,0.9587496161795672,40.6
92.0%,9200000,18400.00000283107,-6968162.378468409,1089646.624426261,300.413563625389,0.9587496161795672,40.6
92.5%,9250000,18500.000002851444,-6973031.632793397,1090428.0432754955,300.6289993601678,0.9587496161795672,40.6
93.0%,9300000,18600.000002871817,-6967607.684443228,1086759.5593332876,299.61760510676805,0.9587496161795672,40.6
