#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
31.0%,3100000,6200.000000345607,-1533077.9092697473,244434.55959487768,300.15845928599515,1.0295827812641218
31.5%,3150000,6300.00000036598,-1533572.0128403269,243914.4994713958,299.5198407303412,1.029682141961456
32.0%,3200000,6400.000000386352,-1531613.4692549072,244746.04274576125,300.5409514459325,1.0293578012412612
32.5%,3250000,6500.000000406725,-1529828.339476076,245593.1718739326,301.5812011321864,1.0298252206033798
33.0%,3300000,6600.000000427098,-1532105.4958586087,245304.38087078976,301.22657426312713,1.0300011665604194
33.5%,3350000,6700.0000004474705,-1530525.4119621245,244001.38917699378,299.62653873656143,1.030860470837197
34.0%,3400000,6800.000000467843,-1531404.757200473,244385.70352107423,300.098465462438,1.0281652234811265
34.5%,3450000,6900.000000488216,-1532364.2179644555,243489.48965823665,298.99794116380394,1.0297050442338547
35.0%,3500000,7000.0000005085885,-1532370.6692917002,245095.1020783985,300.9695860533195,1.0309973197513278
35.5%,3550000,7100.000000528961,-1531016.0711604096,244636.16389397817,300.4060234434683,1.0304876167430046
36.0%,3600000,7200.000000549334,-1532307.8405088857,244539.61635826295,300.28746590554834,1.028360308513081
36.5%,3650000,7300.000000569707,-1531735.9871145273,243826.03729498142,299.4112117761473,1.0299128764797936
37.0%,3700000,7400.000000590079,-1531652.1942603514,245734.1183717486,301.7542792914137,1.029578251395229
37.5%,3750000,7500.000000610452,-1530677.210625114,245070.66844608306,300.9395822705373,1.028981282449338
38.0%,3800000,7600.000000630825,-1530846.3293845756,244881.81540828198,300.7076762873907,1.0287604297305315
38.5%,3850000,7700.000000651197,-1532396.2312759524,245233.4385419496,301.1394591671354,1.028073562301196
39.0%,3900000,7800.00000067157,-1532936.622344181,244442.28889686696,300.1679506418014,1.0290612056654598
39.5%,3950000,7900.000000691943,-1532141.7903928664,244474.6687446286,300.20771214374355,1.0307429501820484
40.0%,4000000,8000.000000712315,-1531326.7202091385,242808.55607428087,298.1617747241033,1.0281636257889448
40.5%,4050000,8100.000000732688,-1527505.9663001196,244672.01546235685,300.45004811635164,1.0294195630888243
41.0%,4100000,8200.00000075306,-1530873.9761660518,245904.62859642046,301.96366083883004,1.0294175104163379
41.5%,4150000,8300.000000773432,-1531500.9772683065,243885.64916791688,299.48441340510317,1.0300113798209891
42.0%,4200000,8400.000000793805,-1531552.3352488866,245038.90320114716,300.9005754828122,1.0307552740760404
42.5%,4250000,8500.000000814178,-1531939.1526850564,243650.2575323385,299.19535939088723,1.028784641275354
43.0%,4300000,8600.00000083455,-1530214.308991544,244157.74471667493,299.81853874658174,1.0294587180618022
43.5%,4350000,8700.000000854923,-1531754.8585973922,244079.6540987311,299.72264576154083,1.031975671342578
44.0%,4400000,8800.000000875296,-1531123.031477822,243445.46130956788,298.94387564490506,1.0311396704071405
44.5%,4450000,8900.000000895669,-1530886.4379738765,245546.048771637,301.5233353467375,1.0284465223678583
45.0%,4500000,9000.000000916041,-1531725.8542629778,244835.44010811026,300.6507287809843,1.0314478929260804
45.5%,4550000,9100.000000936414,-1531492.1543720793,245265.13261770696,301.17837856119974,1.0310559556370957
46.0%,4600000,9200.000000956787,-1531661.9310130011,244517.88340208074,300.2607784737294,1.0325366441521935
46.5%,4650000,9300.00000097716,-1534292.9922794346,244152.82932499074,299.8125027899758,1.03168424391237
47.0%,4700000,9400.000000997532,-1531452.179234488,245260.09599037174,301.1721937307754,1.032057448454892
47.5%,4750000,9500.000001017905,-1529245.8420130247,244974.04688609287,300.8209338329819,1.0290086846218558
48.0%,4800000,9600.000001038277,-1531450.8029979747,245051.17746109693,300.91564791349265,1.0321120758811508
48.5%,4850000,9700.00000105865,-1530507.8691795096,244099.71036342235,299.74727426545917,1.027540946626253
49.0%,4900000,9800.000001079023,-1534862.2322731353,244628.50618028213,300.39661999598343,1.0304266327112446
49.5%,4950000,9900.000001099395,-1531414.8574295603,244164.6088541583,299.8269677057876,1.03005265164603
50.0%,5000000,10000.000001119768,-1532544.4203165313,244370.35961424132,300.0796235955513,1.0282651675527945
50.5%,5050000,10100.00000114014,-1530822.7135579288,244212.82561486342,299.8861764716389,1.0286157257330177
51.0%,5100000,10200.000001160513,-1531161.2510027084,244885.79496647208,300.71256306795465,1.0308620521491014
51.5%,5150000,10300.000001180886,-1532833.446019099,244824.15027019632,300.636865191648,1.0307995068769524
52.0%,5200000,10400.000001201259,-1530299.1647121375,245302.8859733659,301.224738573001,1.0328061859542192
52.5%,5250000,10500.000001221631,-1532219.4735365128,244561.7129943444,300.31459992560093,1.030638981223186
53.0%,5300000,10600.000001242004,-1532379.4939504256,244439.9409176365,300.16506739227475,1.0288033483893968
53.5%,5350000,10700.000001262377,-1531956.709555422,245549.58971622775,301.527683522685,1.0296563538998178
54.0%,5400000,10800.00000128275,-1530460.581614188,245762.05662598723,301.78858664697464,1.0269123632248414
54.5%,5450000,10900.000001303122,-1530561.9436177006,244546.50208370286,300.2959213741307,1.0286105075639023
55.0%,5500000,11000.000001323495,-1530645.6503608897,244638.946707604,300.40944065685994,1.0286351259006625
55.5%,5550000,11100.000001343868,-1529635.961628599,246264.86586062485,302.40602161784676,1.0293588257227617
56.0%,5600000,11200.00000136424,-1529795.363597027,243721.46817954376,299.2828039739499,1.0306285903524623
56.5%,5650000,11300.000001384613,-1532007.4476969065,245198.9189847347,301.0970701648353,1.028768708746749
57.0%,5700000,11400.000001404986,-1532855.4839426875,245789.29381580037,301.8220331160138,1.029917885999879
57.5%,5750000,11500.000001425358,-1532602.9776919074,244998.99874559272,300.85157398352453,1.030639828358669
58.0%,5800000,11600.000001445731,-1529723.4934268985,242509.93758121494,297.79507998608614,1.030249055934572
58.5%,5850000,11700.000001466104,-1533474.7338479515,243905.2583293194,299.5084928793159,1.0326916250553992
59.0%,5900000,11800.000001486476,-1531193.766097054,244837.2231535963,300.6529183084669,1.0286298817162707
59.5%,5950000,11900.000001506849,-1532195.755112893,244795.41371072936,300.60157754071565,1.028752555881783
60.0%,6000000,12000.000001527222,-1531919.9273068383,244275.2499273006,299.9628316936918,1.029136032829406
60.5%,6050000,12100.000001547594,-1535455.1903274711,244495.03394803332,300.2327200153274,1.031297829860935
61.0%,6100000,12200.000001567967,-1531238.739683468,243167.34664693743,298.6023590083936,1.0295501772443683
61.5%,6150000,12300.00000158834,-1531014.627228816,244030.16126565673,299.6618700163028,1.030968664843406
62.0%,6200000,12400.000001608712,-1531358.671535234,243670.06381029356,299.2196809184365,1.028420074148526
62.5%,6250000,12500.000001629085,-1531080.868086745,244698.99096773655,300.4831732445931,1.031916940599389
63.0%,6300000,12600.000001649458,-1531619.7805037433,245740.1756642243,301.76171746865003,1.0333280127772146
63.5%,6350000,12700.00000166983,-1534831.0901462603,245161.57370610468,301.051211259639,1.0299237697803623
64.0%,6400000,12800.000001690203,-1529537.3554974776,243068.84649682895,298.4814037173537,1.0312137955039704
64.5%,6450000,12900.000001710576,-1533203.2458726158,246525.14268085244,302.72563390784717,1.0303990288742175
65.0%,6500000,13000.000001730948,-1531802.6528435182,244068.82270848576,299.70934513247533,1.0302246015859453
65.5%,6550000,13100.000001751321,-1532691.347299789,245073.00605630552,300.9424527872267,1.0290851380416923
66.0%,6600000,13200.000001771694,-1529802.9361441238,247374.0248888237,303.76803632460144,1.0279668025751865
66.5%,6650000,13300.000001792067,-1531312.2056281865,243422.65643856465,298.9158719331718,1.0307723924311343
67.0%,6700000,13400.00000181244,-1534547.9006083729,244691.7175567623,300.4742417095622,1.0302128156481722
67.5%,6750000,13500.000001832812,-1530716.4889122406,242871.65818447617,298.23926226189377,1.0290978423839712
68.0%,6800000,13600.000001853185,-1530396.3428383255,244010.83769669847,299.6381412412228,1.0288345464280495
68.5%,6850000,13700.000001873557,-1531775.850202905,243869.21113025647,299.4642279776988,1.0310904256040558
69.0%,6900000,13800.00000189393,-1531456.2934695669,245358.33605664282,301.2928296465025,1.0303009335595086
69.5%,6950000,13900.000001914303,-1531106.3738291105,244240.42656799447,299.9200696313474,1.0278070412872609
70.0%,7000000,14000.000001934675,-1532364.986780407,244118.20932912867,299.76999045196726,1.0305308556913364
70.5%,7050000,14100.000001955048,-1530086.4659845242,244077.39179749778,299.719867722078,1.0310832530772278
71.0%,7100000,14200.00000197542,-1531891.897671354,245350.1419740841,301.2827675538092,1.028611370081592
71.5%,7150000,14300.000001995793,-1530433.5897805886,244129.5034442051,299.78385929353357,1.0304426253093824
72.0%,7200000,14400.000002016166,-1530141.5618479224,245067.9175765704,300.93620428357843,1.0294856731045967
72.5%,7250000,14500.000002036539,-1531693.1030819798,244895.39050175037,300.724346103422,1.0301046147234485
73.0%,7300000,14600.000002056911,-1531292.0106601305,243842.409634986,299.43131652876014,1.0288648538064702
73.5%,7350000,14700.000002077284,-1529467.1756120883,244191.19187757562,299.85961087770784,1.028496592182857
74.0%,7400000,14800.000002097657,-1534101.1565570543,244648.7949651756,300.4215340278801,1.02968236006184
74.5%,7450000,14900.00000211803,-1531859.7739388002,244440.83547255548,300.16616587943906,1.0296487820433045
75.0%,7500000,15000.000002138402,-1531877.9833411528,245274.91903484144,301.1903959939796,1.0276163404093956
75.5%,7550000,15100.000002158775,-1529560.3173972918,243686.01774362125,299.23927187994013,1.0308742760368554
76.0%,7600000,15200.000002179147,-1531705.0917190947,243881.32106756096,299.47909862499756,1.029250771302821
76.5%,7650000,15300.00000219952,-1531396.3521606494,245336.81440330163,301.2664016883656,1.0316882662934077
77.0%,7700000,15400.000002219893,-1530060.9202251574,244971.7237572113,300.81808109895377,1.0316067335973877
77.5%,7750000,15500.000002240266,-1529243.0939711062,244399.44653717324,300.11534148252724,1.0280787184837041
78.0%,7800000,15600.000002260638,-1529488.5841857623,245053.0223767876,300.91791341576914,1.0311557832460696
78.5%,7850000,15700.00000228101,-1532606.010756067,244517.38872199532,300.26017102111496,1.031223056478401
79.0%,7900000,15800.000002301384,-1532819.1886133514,243095.6459792489,298.514312694571,1.030506492391577
79.5%,7950000,15900.000002321756,-1532068.1256598663,245655.18998540982,301.65735755139195,1.030770606421768
80.0%,8000000,16000.000002342129,-1530100.1293536685,244066.32532249976,299.70627841584144,1.0313716759702454
80.5%,8050000,16100.000002362502,-1531859.4943281254,245232.29126261992,301.13805034181814,1.0311541131294761
81.0%,8100000,16200.000002382874,-1531432.3529395228,243672.22549971033,299.2223354095439,1.0315764106568537
81.5%,8150000,16300.000002403247,-1531733.2880084114,243075.62371604392,298.48972594347913,1.0323033064569513
82.0%,8200000,16400.000002423618,-1531042.9312916575,244499.1025942707,300.2377161933965,1.0288427039547896
82.5%,8250000,16500.00000244399,-1531827.965956158,243354.83348218945,298.83258733494006,1.0305248494750259
83.0%,8300000,16600.000002464363,-1530954.802701733,244803.4753501549,300.6114769971318,1.0290155222769226
83.5%,8350000,16700.000002484736,-1531698.7742347568,244688.30575096092,300.4700521122548,1.0301694037408013
84.0%,8400000,16800.00000250511,-1533072.6056865575,245125.20209580925,301.00654799055735,1.0298924529716436
84.5%,8450000,16900.00000252548,-1534020.1513272915,244259.0226718028,299.9429051005916,1.031034500141698
85.0%,8500000,17000.000002545854,-1531527.2612838475,244746.0018159079,300.5409011852748,1.0316324193594657
85.5%,8550000,17100.000002566227,-1528281.8121563066,245071.03322544944,300.94003020888437,1.028350689569627
86.0%,8600000,17200.0000025866,-1531401.6937771393,245089.16185272453,300.9622916306771,1.0294545242850335
86.5%,8650000,17300.000002606972,-1530214.0798167316,244091.98341249718,299.73778579669056,1.0303003281645258
87.0%,8700000,17400.000002627345,-1533394.8143335478,244550.05123771325,300.3002796310044,1.0310499741796604
87.5%,8750000,17500.000002647717,-1533797.1897621304,243484.04469791087,298.9912549124614,1.0285369198409648
88.0%,8800000,17600.00000266809,-1531560.234954034,245428.54485375874,301.3790439870833,1.0262194946751009
88.5%,8850000,17700.000002688463,-1530892.5027647624,244689.99947131108,300.4721319510943,1.0288921999188532
89.0%,8900000,17800.000002708835,-1530375.7773871934,245152.13049653312,301.0396152756651,1.0291117862688761
89.5%,8950000,17900.000002729208,-1530042.3027391927,244618.1119384032,300.38385617227124,1.0291082760409704
90.0%,9000000,18000.00000274958,-1531809.8493272709,243531.27048685483,299.0492467940983,1.0315543409283607
90.5%,9050000,18100.000002769953,-1531187.2881712578,242371.38080036602,297.62493632910014,1.0304570147031091
91.0%,9100000,18200.000002790326,-1529846.1959010726,244383.32155676544,300.09554048023347,1.030865213195138
91.5%,9150000,18300.0000028107,-1530263.400746015,244089.6764302434,299.73495289024703,1.0310720501791164
92.0%,9200000,18400.00000283107,-1529365.14503247,243992.39475755146,299.61549385368374,1.0301226521198426
92.5%,9250000,18500.000002851444,-1531764.7666356256,243886.18007539143,299.48506534388736,1.0291800426644258
93.0%,9300000,18600.000002871817,-1531787.4545810511,245136.3756786481,301.02026882207633,1.030215214440247
93.5%,9350000,18700.00000289219,-1533982.4050362557,244478.16051540629,300.21199993569303,1.0313315342657243
94.0%,9400000,18800.000002912562,-1531531.945352802,246633.5212594165,302.8587196188666,1.0298762682511375
94.5%,9450000,18900.000002932935,-1531914.70331877,245504.2345820722,301.4719887501807,1.0288165516876733
95.0%,9500000,19000.000002953308,-1531515.3692967026,242477.78090774364,297.75559253561715,1.028368193806692
95.5%,9550000,19100.00000297368,-1530788.38166017,245096.23340586186,300.9709752902136,1.0290330123519615
96.0%,9600000,19200.000002994053,-1530803.0718813436,244655.12464969588,300.4293066945461,1.0285903922594013
96.5%,9650000,19300.000003014426,-1531381.4534381004,244693.6362733793,300.4765978372085,1.030471266162424
97.0%,9700000,19400.0000030348,-1533218.9047241127,244640.63677323214,300.41151600780813,1.0298542117103637
97.5%,9750000,19500.00000305517,-1530343.1293818876,243562.23771635495,299.08727364230873,1.028077140385549
98.0%,9800000,19600.000003075544,-1531288.7584237522,243750.4845602876,299.31843523719095,1.029446418537192
98.5%,9850000,19700.000003095916,-1529873.8150470406,244673.21022581254,300.45151525078086,1.0275011558934142
99.0%,9900000,19800.00000311629,-1528532.6565790996,245445.40189252928,301.3997439355435,1.0294328019436687
99.5%,9950000,19900.00000313666,-1532221.7816869123,243176.24827470788,298.6132899458238,1.0307179628175167
100.0%,10000000,20000.000003157034,-1531093.768552171,245242.6638564854,301.1507875824056,1.0291470702306698
100.5%,10050000,20100.000003177407,-1531089.4181292364,244576.25759096027,300.3324602630197,1.0285291754791377
