#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
86.5%,8650000,17300.000002606972,-1648545.3999755122,254790.20241226503,-1393755.197563247,300.4924268085505,1045.2132057683134,0.9752688559959105,213,18:17
87.0%,8700000,17400.000002627345,-1646652.7768749772,255014.3916887859,-1391638.3851861912,300.7568293606439,1045.2132057683134,0.9752688559959105,213,17:36
87.5%,8750000,17500.000002647717,-1645381.8687593807,254282.57024764453,-1391099.298511736,299.89373965485026,1045.2132057683134,0.9752688559959105,213,16:55
88.0%,8800000,17600.00000266809,-1648411.7885178337,254395.0114433307,-1394016.777074503,300.0263496510162,1045.2132057683134,0.9752688559959105,213,16:15
88.5%,8850000,17700.000002688463,-1647658.3332136292,254407.0662632842,-1393251.266950345,300.04056676795506,1045.2132057683134,0.9752688559959105,213,15:34
89.0%,8900000,17800.000002708835,-1648984.0719333002,254925.1835098725,-1394058.8884234277,300.6516197335897,1045.2132057683134,0.9752688559959105,213,14:53
89.5%,8950000,17900.000002729208,-1649481.3459128821,254898.96711756714,-1394582.378795315,300.62070085495384,1045.2132057683134,0.9752688559959105,213,14:13
90.0%,9000000,18000.00000274958,-1648907.0768729327,255102.25112304732,-1393804.8257498853,300.86044831604045,1045.2132057683134,0.9752688559959105,213,13:32
90.5%,9050000,18100.000002769953,-1648371.6006831033,254834.14223638875,-1393537.4584467146,300.54424820615316,1045.2132057683134,0.9752688559959105,213,12:52
91.0%,9100000,18200.000002790326,-1644941.4752231715,254643.10392465227,-1390298.3712985192,300.3189429732062,1045.2132057683134,0.9752688559959105,213,12:11
91.5%,9150000,18300.0000028107,-1648672.1500904625,254083.73707164274,-1394588.4130188199,299.659241377361,1045.2132057683134,0.9752688559959105,213,11:30
92.0%,9200000,18400.00000283107,-1646884.2015809305,254803.60467597557,-1392080.5969049549,300.5082330629079,1045.2132057683134,0.9752688559959105,213,10:50
92.5%,9250000,18500.000002851444,-1648031.7917106869,255903.4063097032,-1392128.3854009837,301.8053082989175,1045.2132057683134,0.9752688559959105,213,10:09
93.0%,9300000,18600.000002871817,-1649962.6068605976,255196.5548419872,-1394766.0520186103,300.971667480251,1045.2132057683134,0.9752688559959105,213,9:28
93.5%,9350000,18700.00000289219,-1647004.2805711217,254084.65730570751,-1392919.6232654143,299.6603266756367,1045.2132057683134,0.9752688559959105,213,8:48
94.0%,9400000,18800.000002912562,-1648000.456436418,254219.8618232141,-1393780.5946132038,299.81978309584593,1045.2132057683134,0.9752688559959105,213,8:07
94.5%,9450000,18900.000002932935,-1644396.0869442895,254324.03629843792,-1390072.0506458515,299.94264355348963,1045.2132057683134,0.9752688559959105,213,7:26
95.0%,9500000,19000.000002953308,-1648162.1366856378,253667.57588100026,-1394494.5608046376,299.1684325278223,1045.2132057683134,0.9752688559959105,213,6:46
95.5%,9550000,19100.00000297368,-1647643.7206663433,253722.9878078666,-1393920.7328584767,299.23378380201007,1045.2132057683134,0.9752688559959105,213,6:05
96.0%,9600000,19200.000002994053,-1645517.5433791485,255900.44758499786,-1389617.0957941506,301.80181886188836,1045.2132057683134,0.9752688559959105,213,5:25
96.5%,9650000,19300.000003014426,-1646379.0774141857,254089.4253600757,-1392289.65205411,299.6659499853821,1045.2132057683134,0.9752688559959105,213,4:44
97.0%,9700000,19400.0000030348,-1646675.3660833696,254131.53544350114,-1392543.8306398685,299.71561343806525,1045.2132057683134,0.9752688559959105,213,4:03
97.5%,9750000,19500.00000305517,-1648603.683793434,254240.02424726015,-1394363.6595461739,299.84356209391797,1045.2132057683134,0.9752688559959105,213,3:23
98.0%,9800000,19600.000003075544,-1647696.580875231,253990.07881850953,-1393706.5020567214,299.54878345744027,1045.2132057683134,0.9752688559959105,213,2:42
98.5%,9850000,19700.000003095916,-1648249.4137557643,254329.0846248589,-1393920.3291309054,299.94859740824234,1045.2132057683134,0.9752688559959105,213,2:01
99.0%,9900000,19800.00000311629,-1646869.3234979287,254848.30044165676,-1392021.023056272,300.56094599680586,1045.2132057683134,0.9752688559959105,213,1:21
99.5%,9950000,19900.00000313666,-1646214.401553101,253537.57625438485,-1392676.825298716,299.01511461011575,1045.2132057683134,0.9752688559959105,213,0:40
100.0%,10000000,20000.000003157034,-1648423.4409676725,253923.45552694873,-1394499.9854407238,299.47020981381684,1045.2132057683134,0.9752688559959105,213,0:00
100.5%,10050000,20100.000003177407,-1645817.2134198155,253611.71364582423,-1392205.4997739913,299.1025501726294,1045.2132057683134,0.9752688559959105,213,23:59:20
