dataset	gene	log2FC	lfcSE	padj	baseMean	detected	cell_type
GSE290979_organoid	AQP4	-0.9116561564256516	1.127530583308786	0.6582262667966681	1435.3997481012295	True	BergmannGlia
GSE290979_organoid	CA8	-0.4865627912440637	0.2529596287311041	0.2073348657696443	239.50460431253168	True	Purkinje
GSE290979_organoid	CALB1	-2.0564161797774583	0.4503944191755065	0.0007348387621256	95.89241756437384	True	Purkinje
GSE290979_organoid	CALB2	-0.5564964180343139	0.457407278497991	0.4669160662322487	319.1068173206734	True	Purkinje
GSE290979_organoid	CARTPT	-1.427268100023659	1.3067371353156478	0.5236578250672729	302.71198159101965	True	MLI
GSE290979_organoid	CBLN1	-1.438008158348602	0.6116099054178155	0.1136748136923676	713.4748900868976	True	Purkinje
GSE290979_organoid	CBLN3	-0.3614481846620151	0.3055721394608661	0.4821575040572127	26.70227060558125	True	Purkinje
GSE290979_organoid	CBLN4	-2.1279773748337907	1.4392761838771322	0.3581216007894162	179.0286944934179	True	Granule
GSE290979_organoid	ETV1	-0.060275486011614	0.5294681913575581	0.9586668223615682	6237.780904925556	True	Granule
GSE290979_organoid	GDF10	0.1091976351425192	0.7353717426800568	0.9456876658926908	699.1682840142614	True	BergmannGlia
GSE290979_organoid	GFAP	-0.7995956725812698	1.2435455399649429	0.7326360230768251	21900.92636906815	True	BergmannGlia
GSE290979_organoid	GRIA2	-1.432370879643004	0.4100623224907417	0.0128092770031957	4158.834639493604	True	Granule
GSE290979_organoid	GRID2	-0.8976174712253505	0.2642499628500558	0.0158321020930939	1205.5134299956185	True	Purkinje
GSE290979_organoid	GRIK2	-0.1050517569802065	0.2505678273617206	0.8342257681541209	2058.019276297281	True	Afferents
GSE290979_organoid	GRM4	-1.1689835304438234	0.3542666447198332	0.0194229859291388	131.60857806583806	True	Granule
GSE290979_organoid	HOMER3	0.4700347761267485	0.1457998208823268	0.0229130830647771	728.0767699654173	True	Purkinje
GSE290979_organoid	HOPX	-0.4460647132430146	0.3981154266081418	0.5108509937480387	272.732598163408	True	BergmannGlia
GSE290979_organoid	ITPR1	0.5381808203819944	0.3664744718480606	0.3617839200397392	757.3346050983474	True	Purkinje
GSE290979_organoid	KIT	0.3164401743211335	0.2963268674264354	0.5342861179569246	354.96464766377505	True	MLI
GSE290979_organoid	MEIS2	-0.335917800085988	0.3110272526811489	0.5285447831530918	6045.119194383701	True	DCN
GSE290979_organoid	NEUROD1	2.6690516488463314	0.6948568379532232	0.0055844927857167	85.04518979847002	True	Granule
GSE290979_organoid	PCP2	-0.4375911935191104	0.3345883690611023	0.4269318481424273	59.53810390985385	True	Purkinje
GSE290979_organoid	PCP4	-1.1534493098692844	0.4108151656328465	0.0520952581693288	320.9469980904873	True	Purkinje
GSE290979_organoid	RBFOX3	-0.7413099010984143	0.3921465967047742	0.2165699334667849	377.53536576919095	True	Granule
GSE290979_organoid	ROBO3	-0.1913214283065357	0.4135220750709425	0.8146213687051433	1260.6361439055684	True	DCN
GSE290979_organoid	S100B	-1.0371150567843832	0.6324088379563977	0.2969082281638959	1546.576762053049	True	BergmannGlia
GSE290979_organoid	SLC17A6	-0.1918687224049642	0.5056095400282038	0.8520338415754236	35.55922245613672	True	DCN
GSE290979_organoid	SLC1A3	-0.7669595352136445	0.313460718029658	0.0968030910515318	9693.485214225311	True	BergmannGlia
GSE290979_organoid	SORCS3	-0.0881636568635427	0.2480879181936946	0.861881104827367	2104.3119552035005	True	MLI
GSE290979_organoid	SST	0.3579395004170122	0.627170908663751	0.765831866109878	53.90147556734276	True	MLI
GSE290979_organoid	ZIC1	-0.3039871647645711	0.5263370952812648	0.7627900086261796	1062.8797391381852	True	Granule
GSE290979_organoid	ZIC2	0.776497572149145	0.5271208745321707	0.3601496962387603	677.4541949540323	True	Granule
GSE87281_SH-SY5Y	AQP4	2.6743758501164323	2.3377326611783773		0.7758355159713174	False	BergmannGlia
GSE87281_SH-SY5Y	ATOH1	-0.4588143613978259	3.706152491059232		0.2796694695211297	False	Granule
GSE87281_SH-SY5Y	CA8	-1.4593280282794932	0.4955223439941334	0.0134279009817708	9.583573023853784	True	Purkinje
GSE87281_SH-SY5Y	CALB1	-1.138599009164793	0.2421082714839724	2.7356178679136683e-05	44.317213069663936	True	Purkinje
GSE87281_SH-SY5Y	CALB2	-1.7420329372419672	2.572652091330553		0.4232936995883326	False	Purkinje
GSE87281_SH-SY5Y	CARTPT	2.302007131042698	1.7064741861074022		1.2174619332808023	True	MLI
GSE87281_SH-SY5Y	CBLN1	-0.7922077156084609	0.2040826677756521	0.0007104614181957	62.39958559851919	True	Purkinje
GSE87281_SH-SY5Y	CBLN3	0.1694166703545504	0.315420082237672	0.7274136348402067	19.29531695889983	True	Purkinje
GSE87281_SH-SY5Y	CBLN4	-0.8393075457790999	0.5549341275831801	0.2516095415006413	41.94790949418965	True	Granule
GSE87281_SH-SY5Y	ETV1	-0.0273428019559545	0.1940509781509303	0.9355954204516016	1204.412910669049	True	Granule
GSE87281_SH-SY5Y	GABRA6				0.0	False	Granule
GSE87281_SH-SY5Y	GDF10	1.560599049369643	1.5105718913571102		1.419326001397521	True	BergmannGlia
GSE87281_SH-SY5Y	GFAP				0.0	False	BergmannGlia
GSE87281_SH-SY5Y	GRIA2	0.0364721857504945	0.4507111474855612	0.9637208709944792	148.07130015852226	True	Granule
GSE87281_SH-SY5Y	GRID2	-0.2383643354188267	1.4180570185053574		1.063591443205144	True	Purkinje
GSE87281_SH-SY5Y	GRIK2	-0.0562569486808763	0.1487367893247646	0.8142769201631587	463.45730062677313	True	Afferents
GSE87281_SH-SY5Y	GRM4	1.2090092941898098	1.5215205755533754		1.1207705295168593	True	Granule
GSE87281_SH-SY5Y	HOMER3	0.1307847886253277	0.1072187122762853	0.371928021038487	523.4216721168482	True	Purkinje
GSE87281_SH-SY5Y	HOPX	-1.362261636852318	0.6857475853119953		3.74240337469992	True	BergmannGlia
GSE87281_SH-SY5Y	ITPR1	-0.1049906027471941	0.0905565118716037	0.4003070860211679	2010.6800451591791	True	Purkinje
GSE87281_SH-SY5Y	KIT	-0.0220146493740872	0.3398360907747988	0.970564840345593	41.05228789651007	True	MLI
GSE87281_SH-SY5Y	LHX9	0.21173812306277	0.1609257312043313	0.3294896815196112	123.76939309735944	True	DCN
GSE87281_SH-SY5Y	MEIS2	0.0436067845456457	0.1173703159368868	0.8176531012857748	6695.461704826951	True	DCN
GSE87281_SH-SY5Y	NEUROD1	-0.7348630947908203	0.3373402542795561	0.0803139174228269	52.97699268103008	True	Granule
GSE87281_SH-SY5Y	PCP2	-0.9397098229957396	3.7774959040443954		0.0931376329063648	False	Purkinje
GSE87281_SH-SY5Y	PCP4	1.6062880223339628	2.0258822226134034		0.8480938947551084	False	Purkinje
GSE87281_SH-SY5Y	PVALB	1.4043788795255467	3.2231637053642266		0.2835644874948351	False	Purkinje
GSE87281_SH-SY5Y	PVALB	1.4043788795255467	3.2231637053642266		0.2835644874948351	False	MLI
GSE87281_SH-SY5Y	RBFOX3	0.587068680855518	0.95424379158512		3.267167140504508	True	Granule
GSE87281_SH-SY5Y	ROBO3	0.0425761315881585	0.1666432393786799	0.8786912330767452	289.4947763235296	True	DCN
GSE87281_SH-SY5Y	S100B	0.3604282897363504	0.1505331137393427	0.0516041168848259	122.70097289267396	True	BergmannGlia
GSE87281_SH-SY5Y	SLC17A6				0.0	False	DCN
GSE87281_SH-SY5Y	SLC1A3	1.267341370657166	2.026625444686663		0.6742891009975754	False	BergmannGlia
GSE87281_SH-SY5Y	SORCS3	-0.4176774201969929	1.1226327245047452		2.148694289978345	True	MLI
GSE87281_SH-SY5Y	SST				0.0	False	MLI
GSE87281_SH-SY5Y	ZIC1	-0.4230462296909382	0.1380187317189408	0.0096134099357591	264.4069064795924	True	Granule
GSE87281_SH-SY5Y	ZIC2	-0.4588143613978259	3.706152491059232		0.2142526277224952	False	Granule
GSE87281_hiPSC-MN	AQP4	0.0870052006153991	0.9010060508884156		5.090022809530846	True	BergmannGlia
GSE87281_hiPSC-MN	ATOH1	2.1163693490775617	3.450209828144044		0.4431353160712086	False	Granule
GSE87281_hiPSC-MN	CA8	-0.0590472957141139	0.1782712127229936	0.8974847995536473	261.80635498178265	True	Purkinje
GSE87281_hiPSC-MN	CALB1	-1.0538297396927	0.1748758662893084	1.2540430603486929e-06	185.0590019744746	True	Purkinje
GSE87281_hiPSC-MN	CALB2	0.5939952117979388	0.5038529437962721		24.745667575142303	True	Purkinje
GSE87281_hiPSC-MN	CARTPT	0.3603679742408209	0.5005726107654656		14.212232812044016	True	MLI
GSE87281_hiPSC-MN	CBLN1	0.4698530833997316	0.2813166546990355	0.3822543818477388	64.91576085670266	True	Purkinje
GSE87281_hiPSC-MN	CBLN3	-0.6561033580295316	0.4777250200066993		15.508518686024557	True	Purkinje
GSE87281_hiPSC-MN	CBLN4	-0.8673688065452281	0.9124280699191414		4.108173300208522	True	Granule
GSE87281_hiPSC-MN	ETV1	-0.0696371695767984	0.1092934075924687	0.7790638934620284	831.7661452888515	True	Granule
GSE87281_hiPSC-MN	GABRA6	-0.1814978770469804	3.8294514679295055		0.2648038550453621	False	Granule
GSE87281_hiPSC-MN	GDF10	0.0028453112786951	0.2587330530387433	0.9967532293930228	85.3301953207541	True	BergmannGlia
GSE87281_hiPSC-MN	GFAP	-0.1084727202701492	2.3390034333018117		0.7879307474819202	False	BergmannGlia
GSE87281_hiPSC-MN	GRIA2	0.0968007040450236	0.3100340040783441	0.9043352864758156	1003.1335686443472	True	Granule
GSE87281_hiPSC-MN	GRID2	-0.3091220574597802	0.3200249301153584		32.16194940370051	True	Purkinje
GSE87281_hiPSC-MN	GRIK2	0.1407866093946769	0.1833092704396263	0.729170868942524	338.3297726667782	True	Afferents
GSE87281_hiPSC-MN	GRM4	0.3587300036703154	0.3676799531870105		27.97078428258568	True	Granule
GSE87281_hiPSC-MN	HOMER3	0.0039938738279624	0.1664963059724851	0.992399569305251	402.40819492735847	True	Purkinje
GSE87281_hiPSC-MN	HOPX	-0.0484536144285976	0.4773430806205692		18.66198354819256	True	BergmannGlia
