#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
28.5%,2850000,5700.000000243744,-1553795.0399376461,246847.90749411288,300.22225878942197,1.0284916149673564
29.0%,2900000,5800.000000264116,-1555962.4477537544,246752.82619894488,300.10661867120615,1.0292395926531828
29.5%,2950000,5900.000000284489,-1555049.0725820065,246011.91647192705,299.2055067514721,1.0324920586417274
30.0%,3000000,6000.000000304862,-1551195.6400560308,247877.42710156695,301.474384866388,1.0267849983548563
30.5%,3050000,6100.000000325234,-1553024.0901591498,247279.834130132,300.747578171763,1.0286635565291824
31.0%,3100000,6200.000000345607,-1554253.8732328163,246595.74207342012,299.9155692454129,1.0273843341469715
31.5%,3150000,6300.00000036598,-1555640.8964117514,246060.90101077198,299.2650829052547,1.0316279850429504
32.0%,3200000,6400.000000386352,-1552962.798607166,247542.73452689938,301.0673238473711,1.0299744086860019
32.5%,3250000,6500.000000406725,-1553603.1265470171,246660.81025646706,299.99470670737475,1.027987957019473
33.0%,3300000,6600.000000427098,-1554002.2758474732,247422.21860935134,300.9207495403265,1.029754143714986
33.5%,3350000,6700.0000004474705,-1554841.9267344158,246760.21513804322,300.1156052735585,1.031375918090244
34.0%,3400000,6800.000000467843,-1553598.4333917666,247807.38839021852,301.3892021304386,1.030509013292172
34.5%,3450000,6900.000000488216,-1555312.9512973716,246851.0823427535,300.22612011536916,1.0311029370693572
35.0%,3500000,7000.0000005085885,-1554968.2628909359,247031.9162317931,300.44605456482134,1.031279990696498
35.5%,3550000,7100.000000528961,-1552923.9514827002,246558.77610703648,299.8706103634897,1.0317941393682581
36.0%,3600000,7200.000000549334,-1553524.9228167627,248170.3448964916,301.8306384110286,1.0279137303023687
36.5%,3650000,7300.000000569707,-1552752.273966672,246754.01019911902,300.1080586801991,1.0284891674893495
37.0%,3700000,7400.000000590079,-1552824.103627705,247231.42766125817,300.6887050803407,1.030537786692672
37.5%,3750000,7500.000000610452,-1553532.0828183014,245321.58049378893,298.3659038203224,1.0303718452892887
38.0%,3800000,7600.000000630825,-1555823.4819351556,248300.40727706352,301.988823352012,1.0302207158826
38.5%,3850000,7700.000000651197,-1551571.0427941876,246889.66323104428,300.2730431034809,1.0299216180808648
39.0%,3900000,7800.00000067157,-1553589.3083765088,247205.54611018405,300.65722732627205,1.0290291288877553
39.5%,3950000,7900.000000691943,-1555673.0562495207,246326.57900654315,299.5882067624135,1.0304088337051036
40.0%,4000000,8000.000000712315,-1554293.4850758146,246297.505895199,299.55284735731914,1.0304182099685053
40.5%,4050000,8100.000000732688,-1553754.785930925,247580.88048697927,301.11371786551416,1.030651300161119
41.0%,4100000,8200.00000075306,-1556386.0199618144,245648.96309882685,298.764074281521,1.0296594525664338
41.5%,4150000,8300.000000773432,-1553866.358260056,246642.78678948252,299.97278614088407,1.0305929915841159
42.0%,4200000,8400.000000793805,-1555125.7387533812,246707.84349453606,300.0519096430391,1.029528168772849
42.5%,4250000,8500.000000814178,-1554225.7166391304,245874.81809290603,299.0387644628949,1.0301890048497737
43.0%,4300000,8600.00000083455,-1555797.083827177,246909.2515573685,300.29686688888245,1.0290639831879227
43.5%,4350000,8700.000000854923,-1556052.2433104236,247280.83917232428,300.7488005278292,1.0295165036055938
44.0%,4400000,8800.000000875296,-1553337.2960405722,247973.3354510861,301.59103086765134,1.0302381943268684
44.5%,4450000,8900.000000895669,-1553888.7430782104,245917.74267475016,299.0909703537597,1.029742627201391
45.0%,4500000,9000.000000916041,-1554787.5164820068,246202.56039937548,299.43737240147533,1.0279409610134296
45.5%,4550000,9100.000000936414,-1553273.5128435288,247769.1273532836,301.3426681531048,1.0297967290164998
46.0%,4600000,9200.000000956787,-1553729.6376336245,247091.32552717344,300.518309553868,1.0289451225862518
46.5%,4650000,9300.00000097716,-1554239.2272967082,247935.17630890576,301.5446208171261,1.029655763375718
47.0%,4700000,9400.000000997532,-1553807.3900360297,246908.21772908946,300.2956095224973,1.0284413612266083
47.5%,4750000,9500.000001017905,-1555036.6002346864,246583.53496224352,299.9007226683123,1.031029529522777
48.0%,4800000,9600.000001038277,-1554223.1096959356,245982.10476532203,299.1692490493665,1.029453445788293
48.5%,4850000,9700.00000105865,-1556052.1101493966,247781.87379865305,301.35817068119667,1.0305994059994865
49.0%,4900000,9800.000001079023,-1553861.3519577496,247277.70670853092,300.74499075133497,1.0299525800985936
49.5%,4950000,9900.000001099395,-1553870.0663680471,246257.1964422694,299.5038220480429,1.0267885281426572
50.0%,5000000,10000.000001119768,-1554573.8303303225,247507.83210996576,301.0248747030563,1.0318502101543092
50.5%,5050000,10100.00000114014,-1553428.6451130332,247827.10117221336,301.41317728176796,1.0272954600625976
51.0%,5100000,10200.000001160513,-1554854.2583461823,245552.25501964826,298.6464556301461,1.0297190035188988
51.5%,5150000,10300.000001180886,-1555778.360311078,246123.7923183724,299.34157279985294,1.0279984562695392
52.0%,5200000,10400.000001201259,-1553549.8690911224,247276.29448125142,300.74327316714283,1.029119519114449
52.5%,5250000,10500.000001221631,-1555327.7636543075,246853.7789230919,300.22939976010434,1.0315889115872932
53.0%,5300000,10600.000001242004,-1554783.2146953512,245714.62499640454,298.8439338331263,1.0299152119034232
53.5%,5350000,10700.000001262377,-1554477.554049287,247041.7349827816,300.45799636181766,1.0301102854918338
54.0%,5400000,10800.00000128275,-1555467.7074533459,245776.73207244655,298.91946992676964,1.0310907475283388
54.5%,5450000,10900.000001303122,-1555923.9160172418,246381.19966184595,299.65463769422905,1.0299404528110068
55.0%,5500000,11000.000001323495,-1554511.889516389,246721.76068235864,300.06883605577036,1.0294045730819064
55.5%,5550000,11100.000001343868,-1554405.2627484165,246693.84784922225,300.0348878084528,1.029274296493308
56.0%,5600000,11200.00000136424,-1552466.3340767063,246963.7151665372,300.36310681747835,1.029019142039233
56.5%,5650000,11300.000001384613,-1552889.9173319964,246229.62235128236,299.47028578693283,1.0302032478746357
57.0%,5700000,11400.000001404986,-1557853.9792453712,246930.18818685182,300.3223305124502,1.0306324824664248
57.5%,5750000,11500.000001425358,-1555050.4746458977,247343.21027491658,300.8246577368027,1.0309578428624826
58.0%,5800000,11600.000001445731,-1552349.568834994,245571.9653307612,298.67042777633054,1.0302011226201129
58.5%,5850000,11700.000001466104,-1554897.515175852,247312.39083196886,300.7871744019414,1.030437980032743
59.0%,5900000,11800.000001486476,-1556632.0594741646,246691.92233341892,300.03254595062754,1.0319749810962107
59.5%,5950000,11900.000001506849,-1554762.1612414438,248362.97800979833,302.06492335588257,1.0274315571981394
60.0%,6000000,12000.000001527222,-1557694.4435105259,247313.42278986867,300.7884294935272,1.0317580494922451
60.5%,6050000,12100.000001547594,-1553032.7407340882,247883.05796272226,301.4812332527978,1.03037406005105
61.0%,6100000,12200.000001567967,-1554526.174518751,246880.5587666681,300.2619700387431,1.0316086360202092
61.5%,6150000,12300.00000158834,-1554455.4624691634,247720.69432272576,301.28376275673463,1.02843021205768
62.0%,6200000,12400.000001608712,-1553550.9823814388,246490.34596055723,299.787384002149,1.0290975315219404
62.5%,6250000,12500.000001629085,-1555211.4529959466,246671.3660419422,300.00754490313193,1.0273209753791182
63.0%,6300000,12600.000001649458,-1555500.0882785441,246950.90956180912,300.34753233837637,1.0286657762986506
63.5%,6350000,12700.00000166983,-1555697.7835532706,246948.32106716646,300.34438415001875,1.0299623252899344
64.0%,6400000,12800.000001690203,-1555068.0951376986,246296.36573886182,299.55146067223683,1.029976505673841
64.5%,6450000,12900.000001710576,-1555249.706175549,247680.11192810832,301.2344054893273,1.0296390339698465
65.0%,6500000,13000.000001730948,-1552615.659387608,246419.20145779088,299.70085637654427,1.0289832103642578
65.5%,6550000,13100.000001751321,-1554918.8753159763,246891.64787536344,300.2754568748045,1.0294485561318079
66.0%,6600000,13200.000001771694,-1554826.0434419243,246848.40693011312,300.22286621528855,1.029947104014735
66.5%,6650000,13300.000001792067,-1553481.936050443,247372.59517079304,300.8603963416135,1.0294206880622678
67.0%,6700000,13400.00000181244,-1555168.9978623157,246116.4470345396,299.33263929206623,1.032077863811802
67.5%,6750000,13500.000001832812,-1555723.7613384845,246572.16162365038,299.8868901451321,1.0271521548364677
68.0%,6800000,13600.000001853185,-1553488.594142424,246891.12232120844,300.2748176834209,1.027843261149226
68.5%,6850000,13700.000001873557,-1554090.8913582107,246931.48125724547,300.3239031752218,1.0296570126370115
69.0%,6900000,13800.00000189393,-1556581.8913168963,246982.0047413896,300.3853510306468,1.0295596881980869
69.5%,6950000,13900.000001914303,-1553158.5303454502,247059.91447866504,300.4801066943426,1.031671049292383
70.0%,7000000,14000.000001934675,-1555457.859240817,246777.29138754957,300.1363738117669,1.029662726475759
70.5%,7050000,14100.000001955048,-1554926.5508680968,247059.20031888492,300.4792381163404,1.0303526712616928
71.0%,7100000,14200.00000197542,-1555613.125822137,246435.60439658913,299.7208060183573,1.0277535365297628
71.5%,7150000,14300.000001995793,-1556289.332274084,248228.85782471133,301.90180321715087,1.0292122205955965
72.0%,7200000,14400.000002016166,-1552259.1049491689,247103.32808817984,300.5329073522175,1.0314471517178183
72.5%,7250000,14500.000002036539,-1553947.2881002706,245928.4900699294,299.10404158976723,1.0299273429763391
73.0%,7300000,14600.000002056911,-1554316.1859978084,247855.66048079464,301.44791178779957,1.028575913687972
73.5%,7350000,14700.000002077284,-1554596.564528386,246325.1652298335,299.5864872937678,1.0288437490783209
74.0%,7400000,14800.000002097657,-1556305.21740246,246833.21314875747,300.20438717933297,1.0290389398008923
74.5%,7450000,14900.00000211803,-1553131.6548050279,245888.77179753792,299.05573528823265,1.0280698489797333
75.0%,7500000,15000.000002138402,-1556547.300498655,246752.26881772763,300.1059407709973,1.0296625199011438
75.5%,7550000,15100.000002158775,-1554640.1726867184,247921.3626394456,301.5278203058736,1.0284766761989514
76.0%,7600000,15200.000002179147,-1554824.853797282,246806.19645901656,300.17152884279136,1.0320133928522404
76.5%,7650000,15300.00000219952,-1552776.987071843,246483.4358759224,299.77897979391184,1.0304097503640808
77.0%,7700000,15400.000002219893,-1553193.7204870358,248107.58367999605,301.7543067363065,1.027488974890893
77.5%,7750000,15500.000002240266,-1555313.4986836147,248214.57303892405,301.8844297230876,1.031058078504526
78.0%,7800000,15600.000002260638,-1554552.3923261343,245652.1586373133,298.7679607709476,1.029688512296242
78.5%,7850000,15700.00000228101,-1554799.9412656035,246485.05828933849,299.7809530114506,1.0289305730659255
79.0%,7900000,15800.000002301384,-1555193.6803433485,246429.99636215842,299.7139853943493,1.0312842095476153
79.5%,7950000,15900.000002321756,-1554666.7609272012,247620.11288995238,301.1614332411797,1.0293155698597205
80.0%,8000000,16000.000002342129,-1554987.1039336976,245588.40642054353,298.690423818272,1.0312373199984557
80.5%,8050000,16100.000002362502,-1553641.8556788238,247117.49760188654,300.5501406496522,1.029359908853412
81.0%,8100000,16200.000002382874,-1552711.9648848409,247204.495348065,300.65594936455045,1.0282072037967744
81.5%,8150000,16300.000002403247,-1553750.170875852,247305.87067913954,300.7792444379813,1.0282151125588666
82.0%,8200000,16400.000002423618,-1554050.6110461317,246868.77571243572,300.24763920971964,1.0303141677507321
82.5%,8250000,16500.00000244399,-1555654.472527977,247813.3104470153,301.39640467586935,1.0297292426383438
83.0%,8300000,16600.000002464363,-1553051.588176026,246945.0242446938,300.3403744766145,1.0312949875779485
83.5%,8350000,16700.000002484736,-1554452.9508893471,246756.65563721285,300.1112761245278,1.0289840979052363
84.0%,8400000,16800.00000250511,-1555176.62084449,248432.9563898909,302.1500327155328,1.0278620309443192
84.5%,8450000,16900.00000252548,-1552735.389251927,248379.6675665799,302.08522158926047,1.031328257537107
85.0%,8500000,17000.000002545854,-1553953.1122475779,246019.46199317698,299.2146837927377,1.0295487967619403
85.5%,8550000,17100.000002566227,-1553895.3007309008,246814.1679321341,300.18122393678476,1.0280691252518286
86.0%,8600000,17200.0000025866,-1553846.1502330936,247394.50909447696,300.8870485734842,1.0302498902466224
86.5%,8650000,17300.000002606972,-1554017.5258699907,247291.65008198557,300.76194901165076,1.0292615709466455
87.0%,8700000,17400.000002627345,-1556484.1150750248,245562.46970499412,298.65887897186485,1.029270968953952
87.5%,8750000,17500.000002647717,-1556333.770819663,246586.39304553124,299.90419873675125,1.0315331590583174
88.0%,8800000,17600.00000266809,-1556132.8572536418,247753.13159819483,301.32321373774215,1.0285030511182138
88.5%,8850000,17700.000002688463,-1554252.6573476167,246983.21482514223,300.38682276310436,1.0294172858480644
89.0%,8900000,17800.000002708835,-1555397.7379023023,246750.8271709793,300.1041874061519,1.0296360458110305
89.5%,8950000,17900.000002729208,-1554985.5926573547,247247.286286434,300.70799271506246,1.0301736683398834
90.0%,9000000,18000.00000274958,-1554179.4068438532,247517.9720615995,301.03720715186813,1.030696909427918
90.5%,9050000,18100.000002769953,-1556132.6634209007,248609.88170705485,302.36521346749953,1.0290865705153547
91.0%,9100000,18200.000002790326,-1556697.7620736714,245882.48264003158,299.04808626624333,1.0294047011432452
91.5%,9150000,18300.0000028107,-1555936.80919947,247388.61400481552,300.8798788261208,1.0284298931426885
92.0%,9200000,18400.00000283107,-1554265.7330475925,247145.07565298898,300.5836817271482,1.02876325305156
92.5%,9250000,18500.000002851444,-1551609.6735346643,247620.5331404834,301.1619443598072,1.0307819683124417
93.0%,9300000,18600.000002871817,-1554717.0227201423,247937.34111944487,301.54725371086414,1.0319772413137358
93.5%,9350000,18700.00000289219,-1554883.9796971884,247100.42505124453,300.52937661009,1.0296770781524278
94.0%,9400000,18800.000002912562,-1555376.7745322967,247842.80996971764,301.4322826925348,1.0331246368528995
94.5%,9450000,18900.000002932935,-1554208.529074586,245612.04608238552,298.7191749336744,1.0289169550116437
95.0%,9500000,19000.000002953308,-1554019.6899503507,246214.59680847186,299.4520113666718,1.0283707766566652
95.5%,9550000,19100.00000297368,-1554598.4453245746,245925.95845742605,299.10096258281163,1.0301653822442007
96.0%,9600000,19200.000002994053,-1557488.827949538,246858.57241366635,300.2352297166243,1.0307887753113256
96.5%,9650000,19300.000003014426,-1553766.5851122793,247539.89417646968,301.0638693460532,1.0304873419290206
97.0%,9700000,19400.0000030348,-1557910.1051845178,247313.07931825166,300.7880117552294,1.0297879811482615
97.5%,9750000,19500.00000305517,-1555287.8511863444,247621.52149412967,301.1631464188693,1.029527291939651
98.0%,9800000,19600.000003075544,-1555428.046226644,246930.3038950817,300.3224712395339,1.0286787748568642
98.5%,9850000,19700.000003095916,-1554738.0922459727,247086.04917088302,300.51189232465276,1.0297029369997397
99.0%,9900000,19800.00000311629,-1554332.435676096,247280.09391169238,300.7478941242361,1.0308957884137948
99.5%,9950000,19900.00000313666,-1554558.867179433,246347.41446267362,299.6135473365585,1.0259694066048668
100.0%,10000000,20000.000003157034,-1556642.1764039658,247271.48815162372,300.7374275954628,1.0295614735320224
100.5%,10050000,20100.000003177407,-1553924.0113634672,247063.19996827768,300.4841025844546,1.0289905279452953
