#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
25.5%,2550000,5100.000000121508,-48855580.23394266,7491617.811795943,300.1006072240649,0.9872599595729294,3.59
26.0%,2600000,5200.00000014188,-48870207.50037572,7502221.855936951,300.52538597889355,0.9872599595729294,3.6
26.5%,2650000,5300.000000162253,-48867851.5984827,7498552.6964805415,300.37840611305785,0.9872599595729294,3.61
27.0%,2700000,5400.000000182626,-48846346.0156233,7501001.191245614,300.47648836768457,0.9872599595729294,3.62
27.5%,2750000,5500.000000202998,-48855236.473517686,7495195.865359307,300.2439375532436,0.9872599595729294,3.63
28.0%,2800000,5600.000000223371,-48855587.696739376,7499527.153156977,300.41744107822274,0.9872599595729294,3.63
28.5%,2850000,5700.000000243744,-48850862.31653476,7493939.6384774735,300.1936153852526,0.9872599595729294,3.64
29.0%,2900000,5800.000000264116,-48866053.397679776,7500873.377305477,300.47136837331084,0.9872599595729294,3.65
29.5%,2950000,5900.000000284489,-48868844.07982305,7498405.121334174,300.3724945206423,0.9872599595729294,3.66
30.0%,3000000,6000.000000304862,-48860108.888120204,7502630.844701022,300.54176932619305,0.9872599595729294,3.67
30.5%,3050000,6100.000000325234,-48855509.41857445,7501457.012837604,300.4947477530375,0.9872599595729294,3.67
31.0%,3100000,6200.000000345607,-48855989.221966356,7500147.951646937,300.4423091385644,0.9872599595729294,3.68
31.5%,3150000,6300.00000036598,-48865558.541843265,7498073.152912998,300.3591964684356,0.9872599595729294,3.69
32.0%,3200000,6400.000000386352,-48841527.090096146,7499843.183757854,300.4301006902861,0.9872599595729294,3.69
32.5%,3250000,6500.000000406725,-48860175.76410726,7500845.656235387,300.4702579175754,0.9872599595729294,3.7
33.0%,3300000,6600.000000427098,-48860752.100736886,7492723.871208432,300.14491395588874,0.9872599595729294,3.71
33.5%,3350000,6700.0000004474705,-48852147.30989888,7492424.4375302605,300.1329191864143,0.9872599595729294,3.71
34.0%,3400000,6800.000000467843,-48855923.45214683,7497134.627837915,300.3216008579809,0.9872599595729294,3.72
34.5%,3450000,6900.000000488216,-48861440.28365955,7494314.433594027,300.20862899711693,0.9872599595729294,3.72
35.0%,3500000,7000.0000005085885,-48843939.95979035,7490157.827405671,300.04212290024253,0.9872599595729294,3.73
35.5%,3550000,7100.000000528961,-48851910.17744309,7494170.518723156,300.202864028692,0.9872599595729294,3.74
36.0%,3600000,7200.000000549334,-48868686.2804825,7502782.657807949,300.54785068361383,0.9872599595729294,3.74
36.5%,3650000,7300.000000569707,-48845697.627942085,7506646.512559325,300.70262968946327,0.9872599595729294,3.75
37.0%,3700000,7400.000000590079,-48851596.78616464,7496320.556842309,300.28899065198243,0.9872599595729294,3.75
37.5%,3750000,7500.000000610452,-48850843.82063183,7499315.636160897,300.4089680914051,0.9872599595729294,3.76
38.0%,3800000,7600.000000630825,-48862001.16697481,7490765.241557996,300.0664548083201,0.9872599595729294,3.76
38.5%,3850000,7700.000000651197,-48852366.665067375,7491551.924892228,300.09796791433104,0.9872599595729294,3.77
39.0%,3900000,7800.00000067157,-48851509.03184387,7502587.652530696,300.5400391262726,0.9872599595729294,3.77
39.5%,3950000,7900.000000691943,-48860710.849849135,7493970.586294464,300.19485509861016,0.9872599595729294,3.78
40.0%,4000000,8000.000000712315,-48857878.86228606,7496463.854511028,300.2947308964098,0.9872599595729294,3.78
40.5%,4050000,8100.000000732688,-48853920.94988516,7493013.843981391,300.1565297386781,0.9872599595729294,3.78
41.0%,4100000,8200.00000075306,-48845806.67396933,7491813.476792804,300.10844520857574,0.9872599595729294,3.79
41.5%,4150000,8300.000000773432,-48843687.95030683,7490290.581926303,300.0474408053004,0.9872599595729294,3.79
42.0%,4200000,8400.000000793805,-48844370.779979885,7501902.904832913,300.5126093767762,0.9872599595729294,3.8
42.5%,4250000,8500.000000814178,-48848015.05555022,7501599.151514863,300.5004415703714,0.9872599595729294,3.8
43.0%,4300000,8600.00000083455,-48858157.130539864,7497110.7801489895,300.3206455628621,0.9872599595729294,3.8
43.5%,4350000,8700.000000854923,-48853425.978450835,7501042.248698737,300.4781330547099,0.9872599595729294,3.81
44.0%,4400000,8800.000000875296,-48862487.423760325,7498340.1805429375,300.36989311045653,0.9872599595729294,3.81
44.5%,4450000,8900.000000895669,-48848499.73812133,7493463.964282542,300.17456074067167,0.9872599595729294,3.82
45.0%,4500000,9000.000000916041,-48851198.15872234,7495170.6777960695,300.24292858519266,0.9872599595729294,3.82
45.5%,4550000,9100.000000936414,-48867658.50444844,7496876.894539065,300.311276529988,0.9872599595729294,3.82
46.0%,4600000,9200.000000956787,-48858684.09312594,7496222.336822345,300.28505613631796,0.9872599595729294,3.83
46.5%,4650000,9300.00000097716,-48844360.68187061,7500929.729609695,300.4736257443006,0.9872599595729294,3.83
47.0%,4700000,9400.000000997532,-48857896.3162415,7499088.199898559,300.3998574076853,0.9872599595729294,3.83
47.5%,4750000,9500.000001017905,-48865661.763463914,7496632.266702458,300.3014771830173,0.9872599595729294,3.84
48.0%,4800000,9600.000001038277,-48854720.04030889,7491552.980791359,300.098010211733,0.9872599595729294,3.84
48.5%,4850000,9700.00000105865,-48846573.91883916,7503180.20036456,300.563775516625,0.9872599595729294,3.84
49.0%,4900000,9800.000001079023,-48852806.73003739,7495083.1265155785,300.2394214398605,0.9872599595729294,3.84
49.5%,4950000,9900.000001099395,-48848751.60031274,7487532.90933988,299.9369734485157,0.9872599595729294,3.85
50.0%,5000000,10000.000001119768,-48861042.26063183,7490187.715056397,300.0433201452645,0.9872599595729294,3.85
50.5%,5050000,10100.00000114014,-48864719.553219765,7492306.211610558,300.12818327073046,0.9872599595729294,3.85
51.0%,5100000,10200.000001160513,-48850303.837756425,7494653.153923906,300.2221975185271,0.9872599595729294,3.86
51.5%,5150000,10300.000001180886,-48865810.40429425,7493626.921362534,300.1810885054196,0.9872599595729294,3.86
52.0%,5200000,10400.000001201259,-48854202.111314565,7489491.1381795285,300.01541654033184,0.9872599595729294,3.86
52.5%,5250000,10500.000001221631,-48863650.421492755,7496514.434257221,300.2967570292061,0.9872599595729294,3.86
53.0%,5300000,10600.000001242004,-48866755.24266946,7496340.058741146,300.28977186264075,0.9872599595729294,3.87
53.5%,5350000,10700.000001262377,-48857295.54736805,7490983.528529122,300.075198988046,0.9872599595729294,3.87
54.0%,5400000,10800.00000128275,-48843281.1857124,7492493.983608867,300.1357050760505,0.9872599595729294,3.87
54.5%,5450000,10900.000001303122,-48861903.87617093,7503994.082510288,300.5963781576403,0.9872599595729294,3.87
55.0%,5500000,11000.000001323495,-48857296.951894015,7500742.533573968,300.4661270109958,0.9872599595729294,3.88
55.5%,5550000,11100.000001343868,-48850654.03156355,7496349.426440131,300.2901471156535,0.9872599595729294,3.88
56.0%,5600000,11200.00000136424,-48866014.62491605,7494704.069216623,300.2242370927078,0.9872599595729294,3.88
56.5%,5650000,11300.000001384613,-48864498.280498,7488076.607123206,299.9587529945392,0.9872599595729294,3.88
57.0%,5700000,11400.000001404986,-48855924.8521508,7493416.547273641,300.1726613013888,0.9872599595729294,3.89
57.5%,5750000,11500.000001425358,-48850527.74812806,7493366.48556615,300.17065592028234,0.9872599595729294,3.89
58.0%,5800000,11600.000001445731,-48854304.797670424,7502634.761840333,300.54192623968163,0.9872599595729294,3.89
58.5%,5850000,11700.000001466104,-48853783.84303406,7503334.859672776,300.56997088770163,0.9872599595729294,3.89
59.0%,5900000,11800.000001486476,-48852168.60070345,7498873.270088724,300.3912477097453,0.9872599595729294,3.89
59.5%,5950000,11900.000001506849,-48856536.339939326,7494324.5022005355,300.20903232721236,0.9872599595729294,3.9
60.0%,6000000,12000.000001527222,-48849447.442278236,7498281.066895637,300.36752512507667,0.9872599595729294,3.9
60.5%,6050000,12100.000001547594,-48867808.20001799,7502467.813686323,300.53523859975496,0.9872599595729294,3.9
61.0%,6100000,12200.000001567967,-48856750.95167023,7500175.974365222,300.44343167777885,0.9872599595729294,3.9
61.5%,6150000,12300.00000158834,-48854968.69270736,7502848.104187249,300.55047234673947,0.9872599595729294,3.9
62.0%,6200000,12400.000001608712,-48860349.93804029,7497439.927185368,300.3338305955166,0.9872599595729294,3.91
62.5%,6250000,12500.000001629085,-48858687.818351716,7503775.736716189,300.58763162157294,0.9872599595729294,3.91
