gene	k_all	log2FC_all	ci_lo_all	ci_hi_all	i2_all	meta_p_all	k_sens	log2FC_sens	ci_lo_sens	ci_hi_sens	i2_sens	meta_p_sens	delta_log2FC	direction_flipped
PERP	5	-0.2574	-0.6918	0.1770	89.9603	0.2455	4	-0.2624	-0.7018	0.1769	92.4313	0.2417	-0.0050	False
LIMK2	5	-0.2025	-0.7918	0.3869	98.4034	0.5007	4	-0.3674	-0.9383	0.2034	97.8071	0.2071	-0.1650	False
ROCK2	5	-0.2540	-0.3811	-0.1268	55.6006	0.0001	4	-0.2261	-0.3606	-0.0917	59.0427	0.0010	0.0278	False
TP53	5	0.2604	0.0257	0.4951	72.9990	0.0296	4	0.1868	-0.0897	0.4633	74.6059	0.1854	-0.0736	False
PFN2	5	0.0247	-0.2312	0.2807	97.3377	0.8497	4	0.1349	-0.1100	0.3798	96.9863	0.2802	0.1102	False
CFL1	5	-0.1040	-0.2488	0.0408	86.6638	0.1593	4	-0.1061	-0.2692	0.0570	89.2759	0.2023	-0.0021	False
