Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	druggable_class
ENSG00000197971	MBP	P02686	89103.1	7549.7	132.0	22.5	Myelin basic protein	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000131095	GFAP	P14136	15929.3	2345.3	1.9	7.6	Glial fibrillary acidic protein	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000205542	TMSB4X	P62328	10458.9	3001.2	802.8	2594.9	Thymosin beta 4 X-linked	Plasma proteins, Predicted intracellular proteins	True
ENSG00000123560	PLP1	P60201	10196.4	1778.9	2.2	28.7	Proteolipid protein 1	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	True
ENSG00000167996	FTH1	P02794	9247.4	6055.1	4386.3	4465.5	Ferritin heavy chain 1	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000087086	FTL	P02792	6360.1	3223.5	1308.5	2480.8	Ferritin light chain	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000160307	S100B	P04271	4757.1	615.5	2.6	21.4	S100 calcium binding protein B	Cancer-related genes, Candidate cardiovascular disease genes, Predicted intracellular proteins, Predicted secreted proteins, Transporters	True
ENSG00000109846	CRYAB	P02511	4674.3	1023.6	7429.7	10537.6	Crystallin alpha B	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000156508	EEF1A1	P68104	3982.3	1954.2	1563.8	3836.2	Eukaryotic translation elongation factor 1 alpha 1	Cancer-related genes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000120885	CLU	P10909	3839.4	6578.2	110.0	588.2	Clusterin	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000107317	PTGDS	P41222	3337.6	2180.1	101.5	4605.2	Prostaglandin D2 synthase	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000133112	TPT1	P13693	3313.7	1532.0	21778.2	4250.7	Tumor protein, translationally-controlled 1	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000177954	RPS27	P42677	3198.9	2115.7	4810.1	3392.0	Ribosomal protein S27	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000111640	GAPDH	P04406	2757.7	2988.7	25843.3	5080.5	Glyceraldehyde-3-phosphate dehydrogenase	Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000167552	TUBA1A	Q71U36	2689.9	807.4	35.1	168.9	Tubulin alpha 1a	Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters	True
ENSG00000075624	ACTB	P60709	2608.5	1796.2	518.3	1326.2	Actin beta	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000112306	RPS12	P25398	2330.5	1246.8	2362.2	1806.2	Ribosomal protein S12	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000071082	RPL31	P62899	2162.1	2269.7	2534.2	1905.7	Ribosomal protein L31	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000231500	RPS18	P62269	2087.4	1557.4	3292.4	2023.1	Ribosomal protein S18	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000142534	RPS11	P62280	2038.7	1505.6	3319.6	1905.4	Ribosomal protein S11	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000138326	RPS24	P62847	2030.6	1531.4	3587.2	1837.2	Ribosomal protein S24	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000156482	RPL30	P62888	1981.9	970.2	3067.8	1642.3	Ribosomal protein L30	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000162734	PEA15	Q15121	1945.8	776.2	60.6	234.6	Proliferation and apoptosis adaptor protein 15	Plasma proteins, Predicted intracellular proteins	True
ENSG00000008988	RPS20	P60866	1904.2	1140.2	2557.6	1938.2	Ribosomal protein S20	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000118785	SPP1	P10451	1840.1	427.2	15.3	34.6	Secreted phosphoprotein 1	Cancer-related genes, Plasma proteins, Predicted secreted proteins	True
ENSG00000147403	RPL10	P27635	1815.8	1009.1	4611.4	2678.0	Ribosomal protein L10	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000166710	B2M	P61769	1715.6	1088.5	952.8	2179.2	Beta-2-microglobulin	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters	True
ENSG00000108298	RPL19	P84098	1702.9	929.7	2657.7	1462.9	Ribosomal protein L19	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000100097	LGALS1	P09382	1620.6	491.1	1201.0	1492.7	Galectin 1	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000189058	APOD	P05090	1607.8	374.6	1489.7	1303.8	Apolipoprotein D	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	True
ENSG00000177600	RPLP2	P05387	1567.8	959.1	2796.8	1642.2	Ribosomal protein lateral stalk subunit P2	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000196262	PPIA	P62937	1560.1	1783.8	561.5	810.3	Peptidylprolyl isomerase A	Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000100316	RPL3	P39023	1461.7	1055.0	567.9	1334.5	Ribosomal protein L3	Essential proteins, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000125148	MT2A	P02795	1444.7	1433.1	6198.0	1093.4	Metallothionein 2A	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000080822	CLDND1	Q9NY35	1440.2	243.3	42.8	53.9	Claudin domain containing 1	Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000167526	RPL13	P26373	1417.2	1006.6	2324.5	1598.5	Ribosomal protein L13	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000144713	RPL32	P62910	1403.1	1088.5	2330.1	1203.1	Ribosomal protein L32	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000145425	RPS3A	P61247	1385.5	1002.4	2081.4	1482.9	Ribosomal protein S3A	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000105372	RPS19	P39019	1353.3	943.7	1594.3	1357.2	Ribosomal protein S19	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000142937	RPS8	P62241	1292.7	749.5	1899.8	1174.2	Ribosomal protein S8	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000160678	S100A1	P23297	1266.4	787.2	2868.7	2882.1	S100 calcium binding protein A1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters	True
ENSG00000163682	RPL9	P32969	1246.9	990.2	1603.8	1188.1	Ribosomal protein L9	Essential proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Ribosomal proteins	True
ENSG00000170889	RPS9	P46781	1244.7	673.5	1385.3	1104.4	Ribosomal protein S9	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000101439	CST3	P01034	1236.0	2965.9	770.5	1324.6	Cystatin C	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	True
ENSG00000187514	PTMA	P06454	1222.3	521.9	297.2	525.8	Prothymosin alpha	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000198242	RPL23A	P62750	1213.4	855.7	2005.9	1171.0	Ribosomal protein L23a	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000188536	HBA2	P69905	1201.0	550.8	534.0	3042.6	Hemoglobin subunit alpha 2	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transporters	True
ENSG00000087460	GNAS	O95467	1200.1	2064.1	2238.0	1819.8	GNAS complex locus	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000142541	RPL13A	P40429	1181.1	807.1	2756.6	1555.1	Ribosomal protein L13a	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000244734	HBB	P68871	1168.8	546.2	543.9	2550.9	Hemoglobin subunit beta	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transporters	True
ENSG00000147604	RPL7	P18124	1166.7	832.1	2251.5	1272.5	Ribosomal protein L7	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000114391	RPL24	P83731	1166.1	950.2	1680.9	1305.0	Ribosomal protein L24	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000265681	RPL17	P18621	1162.5	904.9	1417.9	1474.5	Ribosomal protein L17	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000137818	RPLP1	P05386	1156.3	786.9	4535.9	2024.6	Ribosomal protein lateral stalk subunit P1	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000034510	TMSB10	P63313	1130.5	2626.4	469.0	1700.5	Thymosin beta 10	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000105290	APLP1	P51693	1120.2	289.1	0.5	10.1	Amyloid beta precursor like protein 1	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000173786	CNP	P09543	1112.6	344.3	24.6	24.2	2',3'-cyclic nucleotide 3' phosphodiesterase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000174748	RPL15	P61313	1106.9	835.9	1646.3	1122.1	Ribosomal protein L15	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000110700	RPS13	P62277	1097.7	547.4	2179.3	1114.3	Ribosomal protein S13	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000196531	NACA	E9PAV3	1079.9	723.5	1154.9	912.0	Nascent polypeptide associated complex subunit alpha	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000019582	CD74	P04233	1060.2	273.3	296.6	607.5	CD74 molecule	Cancer-related genes, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	True
ENSG00000168028	RPSA	P08865	1052.8	766.9	1043.1	746.7	Ribosomal protein SA	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000197958	RPL12	P30050	1049.4	640.6	2096.1	1029.4	Ribosomal protein L12	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000169020	ATP5ME	P56385	1035.3	886.8	1922.2	2120.6	ATP synthase membrane subunit e	Metabolic proteins, Predicted intracellular proteins, Transporters	True
ENSG00000124614	RPS10	P46783	1033.4	918.4	1575.7	1123.5	Ribosomal protein S10	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Ribosomal proteins	True
ENSG00000165795	NDRG2	Q9UN36	1031.9	1730.8	1707.9	308.6	NDRG family member 2	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000240972	MIF	P14174	1022.3	765.0	202.8	599.2	Macrophage migration inhibitory factor	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000125691	RPL23	P62829	1006.1	624.9	1837.5	1176.2	Ribosomal protein L23	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000148303	RPL7A	P62424	1002.7	760.7	1945.4	1260.2	Ribosomal protein L7a	Disease related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000184009	ACTG1	P63261	990.8	844.0	321.6	659.8	Actin gamma 1	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000099194	SCD	O00767	979.4	317.8	5.7	44.1	Stearoyl-CoA desaturase	Enzymes, Essential proteins, Metabolic proteins, Predicted membrane proteins	True
ENSG00000063177	RPL18	Q07020	977.1	788.1	1162.4	938.8	Ribosomal protein L18	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000171858	RPS21	P63220	976.8	1252.5	1922.4	885.4	Ribosomal protein S21	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000105193	RPS16	P62249	964.0	581.4	2289.2	1503.1	Ribosomal protein S16	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000089220	PEBP1	P30086	962.5	992.2	543.8	485.5	Phosphatidylethanolamine binding protein 1	Plasma proteins, Predicted intracellular proteins	True
ENSG00000197956	S100A6	P06703	959.5	420.6	832.7	1372.5	S100 calcium binding protein A6	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000105640	RPL18A	Q02543	922.3	713.3	2624.7	1206.4	Ribosomal protein L18a	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000160781	PAQR6	Q6TCH4	911.8	164.4	1.2	1.9	Progestin and adipoQ receptor family member 6	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000047849	MAP4	P27816	890.0	242.9	562.4	329.5	Microtubule associated protein 4	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	True
ENSG00000091513	TF	P02787	886.6	175.5	1.9	11.4	Transferrin	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000250722	SELENOP	P49908	883.9	138.2	146.4	222.2	Selenoprotein P	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	True
ENSG00000134419	RPS15A	P62244	883.6	512.8	2229.2	1213.4	Ribosomal protein S15a	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Ribosomal proteins	True
ENSG00000172757	CFL1	P23528	874.1	967.7	272.7	508.5	Cofilin 1	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000170296	GABARAP	O95166	872.4	655.5	934.7	686.8	GABA type A receptor-associated protein	Predicted intracellular proteins, Transporters	True
ENSG00000113140	SPARC	P09486	871.6	906.9	242.2	527.6	Secreted protein acidic and cysteine rich	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000167641	PPP1R14A	Q96A00	860.8	102.1	35.2	128.0	Protein phosphatase 1 regulatory inhibitor subunit 14A	Plasma proteins, Predicted intracellular proteins	True
ENSG00000164587	RPS14	P62263	855.3	710.0	1474.3	967.8	Ribosomal protein S14	Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000092841	MYL6	P60660	821.1	568.1	398.7	1096.7	Myosin light chain 6	Plasma proteins, Predicted intracellular proteins	True
ENSG00000104833	TUBB4A	P04350	806.3	512.9	4.1	2.7	Tubulin beta 4A class IVa	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000122406	RPL5	P46777	775.0	439.9	1096.1	856.4	Ribosomal protein L5	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000140988	RPS2	P15880	765.5	567.4	2308.4	1171.4	Ribosomal protein S2	Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000130203	APOE	P02649	756.0	1195.4	29.1	176.7	Apolipoprotein E	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins	True
ENSG00000088986	DYNLL1	P63167	744.0	997.9	86.4	272.5	Dynein light chain LC8-type 1	Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000254772	EEF1G	P26641	734.1	545.8	4507.4	1097.6	Eukaryotic translation elongation factor 1 gamma	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000111775	COX6A1	P12074	731.1	1404.2	62.1	247.3	Cytochrome c oxidase subunit 6A1	Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted membrane proteins	True
ENSG00000117450	PRDX1	Q06830	728.6	414.6	598.8	561.4	Peroxiredoxin 1	Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000151552	QDPR	P09417	718.9	265.3	101.8	43.8	Quinoid dihydropteridine reductase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000196683	TOMM7	Q9P0U1	712.9	837.3	1630.0	870.1	Translocase of outer mitochondrial membrane 7	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000046653	GPM6B	Q13491	709.5	437.3	2.3	15.1	Glycoprotein M6B	Predicted membrane proteins	True
ENSG00000105695	MAG	P20916	699.7	92.1	0.1	0.5	Myelin associated glycoprotein	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000204655	MOG	Q16653	686.8	65.3	0.0	2.6	Myelin oligodendrocyte glycoprotein	Disease related genes, Human disease related genes, Predicted membrane proteins	True
ENSG00000089157	RPLP0	P05388	671.7	486.6	2801.0	1301.2	Ribosomal protein lateral stalk subunit P0	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000155368	DBI	P07108	662.2	587.9	291.6	582.1	Diazepam binding inhibitor, acyl-CoA binding protein	Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000174444	RPL4	P36578	658.3	360.2	1202.2	854.7	Ribosomal protein L4	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000080824	HSP90AA1	P07900	654.8	618.3	404.0	440.6	Heat shock protein 90 alpha family class A member 1	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000083845	RPS5	P46782	641.8	449.1	1408.2	771.3	Ribosomal protein S5	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000142676	RPL11	P62913	637.0	309.4	613.1	668.8	Ribosomal protein L11	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000198034	RPS4X	P62701	619.5	410.0	899.8	566.3	Ribosomal protein S4 X-linked	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000198755	RPL10A	P62906	602.2	518.2	1360.0	803.1	Ribosomal protein L10a	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000197746	PSAP	P07602	597.5	1084.2	1327.8	1333.8	Prosaposin	Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	True
ENSG00000142089	IFITM3	Q01628	592.8	504.6	493.5	1621.8	Interferon induced transmembrane protein 3	Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000108953	YWHAE	P62258	591.6	501.8	654.7	248.5	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters	True
ENSG00000131143	COX4I1	P13073	591.1	896.7	1249.8	1780.9	Cytochrome c oxidase subunit 4I1	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000129538	RNASE1	P07998	583.8	182.1	125.6	382.1	Ribonuclease A family member 1, pancreatic	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000149273	RPS3	P23396	580.3	307.4	1055.4	691.4	Ribosomal protein S3	Cancer-related genes, Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000149925	ALDOA	P04075	561.2	1334.6	25093.7	2567.3	Aldolase, fructose-bisphosphate A	Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000167658	EEF2	P13639	553.1	751.4	2222.3	1329.0	Eukaryotic translation elongation factor 2	Cancer-related genes, Disease related genes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000135486	HNRNPA1	P09651	550.3	293.8	320.9	346.4	Heterogeneous nuclear ribonucleoprotein A1	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000066468	FGFR2	P21802	549.0	36.3	0.3	4.2	Fibroblast growth factor receptor 2	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	True
ENSG00000161016	RPL8	P62917	546.5	470.9	1548.2	905.0	Ribosomal protein L8	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000114942	EEF1B2	P24534	546.0	318.9	1162.5	391.9	Eukaryotic translation elongation factor 1 beta 2	Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000159176	CSRP1	P21291	545.4	462.3	66.5	201.6	Cysteine and glycine rich protein 1	Plasma proteins, Predicted intracellular proteins	True
ENSG00000142192	APP	P05067	535.7	669.1	99.7	356.3	Amyloid beta precursor protein	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	True
ENSG00000142168	SOD1	P00441	523.1	613.2	448.0	491.9	Superoxide dismutase 1	Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000148180	GSN	P06396	507.4	125.3	398.6	2454.2	Gelsolin	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000109971	HSPA8	P11142	501.1	699.3	1423.1	801.5	Heat shock protein family A (Hsp70) member 8	Cancer-related genes, Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000068903	SIRT2	Q8IXJ6	492.9	117.1	306.9	78.9	Sirtuin 2	Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins	True
ENSG00000167755	KLK6	Q92876	492.8	45.8	0.0	0.0	Kallikrein related peptidase 6	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	True
ENSG00000115310	RTN4	Q9NQC3	490.1	520.1	933.0	158.1	Reticulon 4	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000110651	CD81	P60033	486.6	462.6	204.5	901.7	CD81 molecule	CD markers, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	True
ENSG00000186010	NDUFA13	Q9P0J0	479.2	584.8	1025.2	1294.7	NADH:ubiquinone oxidoreductase subunit A13	Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted membrane proteins	True
ENSG00000106211	HSPB1	P04792	479.0	494.6	4325.7	3366.9	Heat shock protein family B (small) member 1	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000116133	DHCR24	Q15392	477.1	67.4	185.1	16.8	24-dehydrocholesterol reductase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000204628	RACK1	P63244	472.9	315.7	1312.3	758.2	Receptor for activated C kinase 1	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins, Transporters	True
ENSG00000104419	NDRG1	Q92597	471.5	109.0	30.5	107.1	N-myc downstream regulated 1	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000206172	HBA1	P69905	469.9	254.8	190.7	1348.0	Hemoglobin subunit alpha 1	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transporters	True
ENSG00000096384	HSP90AB1	P08238	460.3	663.6	1321.6	734.1	Heat shock protein 90 alpha family class B member 1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters	True
ENSG00000154277	UCHL1	P09936	455.3	978.4	34.4	34.0	Ubiquitin C-terminal hydrolase L1	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	True
ENSG00000111716	LDHB	P07195	453.4	693.0	294.0	1824.5	Lactate dehydrogenase B	Disease related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000116251	RPL22	P35268	452.7	271.1	855.3	354.2	Ribosomal protein L22	Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	True
ENSG00000111897	SERINC1	Q9NRX5	451.3	348.0	145.5	153.2	Serine incorporator 1	Plasma proteins, Predicted membrane proteins	True
ENSG00000136156	ITM2B	Q9Y287	449.5	321.2	154.4	304.8	Integral membrane protein 2B	Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	True
ENSG00000187109	NAP1L1	P55209	446.9	190.3	418.2	281.4	Nucleosome assembly protein 1 like 1	Plasma proteins, Predicted intracellular proteins	True
ENSG00000135390	ATP5MC2	Q06055	446.7	391.5	1358.4	949.8	ATP synthase membrane subunit c locus 2	Essential proteins, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000108518	PFN1	P07737	439.2	222.6	558.4	560.2	Profilin 1	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000166165	CKB	P12277	435.4	1487.2	117.4	422.4	Creatine kinase B	Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000135404	CD63	P08962	431.9	369.1	888.7	1149.9	CD63 molecule	CD markers, Plasma proteins, Predicted membrane proteins, Transporters	True
