Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	druggable_class
ENSG00000108669	CYTH1	Q15438	60.1	27.0	32.9	29.8	Cytohesin 1	Plasma proteins, Predicted intracellular proteins	True
ENSG00000163517	HDAC11	Q96DB2	59.9	53.7	48.5	29.0	Histone deacetylase 11	Enzymes, FDA approved drug targets, Predicted intracellular proteins	True
ENSG00000185043	CIB1	Q99828	59.9	63.0	62.9	108.2	Calcium and integrin binding 1	Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	True
ENSG00000001461	NIPAL3	Q6P499	59.6	38.1	5.5	12.0	NIPA like domain containing 3	Predicted intracellular proteins, Predicted membrane proteins, Transporters	True
ENSG00000122367	LDB3	O75112	59.6	7.4	2717.5	1170.6	LIM domain binding 3	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	True
ENSG00000181789	COPG1	Q9Y678	59.5	84.8	72.9	91.3	COPI coat complex subunit gamma 1	Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000100401	RANGAP1	P46060	59.5	96.3	34.3	35.0	Ran GTPase activating protein 1	Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters	True
ENSG00000114023	FAM162A	Q96A26	59.5	70.7	130.4	159.8	Family with sequence similarity 162 member A	Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000111275	ALDH2	P05091	59.5	134.9	122.5	104.1	Aldehyde dehydrogenase 2 family member	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	True
ENSG00000116741	RGS2	P41220	59.4	38.7	10.0	70.6	Regulator of G protein signaling 2	Plasma proteins, Predicted intracellular proteins	True
ENSG00000143753	DEGS1	O15121	59.4	37.9	20.5	42.9	Delta 4-desaturase, sphingolipid 1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins	True
ENSG00000123505	AMD1	P17707	59.3	45.4	25.4	36.6	Adenosylmethionine decarboxylase 1	Enzymes, Metabolic proteins, Predicted intracellular proteins	True
ENSG00000170035	UBE2E3	Q969T4	59.3	81.2	164.2	50.7	Ubiquitin conjugating enzyme E2 E3	Enzymes, Metabolic proteins, Predicted intracellular proteins	True
ENSG00000152661	GJA1	P17302	59.3	221.0	10.0	158.1	Gap junction protein alpha 1	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	True
ENSG00000158864	NDUFS2	O75306	59.3	82.2	435.2	256.1	NADH:ubiquinone oxidoreductase core subunit S2	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	True
ENSG00000166963	MAP1A	P78559	59.1	149.9	4.2	14.5	Microtubule associated protein 1A	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	True
