Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class
ENSG00000197971	MBP	P02686	89103.1	7549.7	132.0	22.5	Myelin basic protein	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000228253	MT-ATP8	P03928	76212.0	113576.7	180164.3	355486.2	Mitochondrially encoded ATP synthase membrane subunit 8	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198712	MT-CO2	P00403	75672.8	98678.1	87390.8	214510.8	Mitochondrially encoded cytochrome c oxidase II	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198899	MT-ATP6	P00846	60430.5	82251.6	103809.1	240225.6	Mitochondrially encoded ATP synthase membrane subunit 6	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198804	MT-CO1	P00395	58094.5	109369.7	137864.4	265338.6	Mitochondrially encoded cytochrome c oxidase I	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198938	MT-CO3	P00414	56248.4	100233.1	92143.1	238539.3	Mitochondrially encoded cytochrome c oxidase III	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198763	MT-ND2	P03891	55567.6	56810.7	43393.0	130852.9	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000198886	MT-ND4	P03905	52893.4	67168.1	57578.2	197808.9	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000198840	MT-ND3	P03897	51132.9	56342.9	65980.3	186829.7	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000198888	MT-ND1	P03886	41917.4	55410.0	64874.2	129323.4	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins
ENSG00000212907	MT-ND4L	P03901	39022.1	44943.4	55361.6	149995.1	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000198727	MT-CYB	P00156	28982.8	36112.8	49294.1	131222.4	Mitochondrially encoded cytochrome b	Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins
ENSG00000131095	GFAP	P14136	15929.3	2345.3	1.9	7.6	Glial fibrillary acidic protein	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000205542	TMSB4X	P62328	10458.9	3001.2	802.8	2594.9	Thymosin beta 4 X-linked	Plasma proteins, Predicted intracellular proteins
ENSG00000123560	PLP1	P60201	10196.4	1778.9	2.2	28.7	Proteolipid protein 1	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000198695	MT-ND6	P03923	9693.8	14284.6	54270.6	33513.0	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000167996	FTH1	P02794	9247.4	6055.1	4386.3	4465.5	Ferritin heavy chain 1	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000198786	MT-ND5	P03915	9108.7	10656.8	24072.9	26164.9	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins
ENSG00000087086	FTL	P02792	6360.1	3223.5	1308.5	2480.8	Ferritin light chain	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000160307	S100B	P04271	4757.1	615.5	2.6	21.4	S100 calcium binding protein B	Cancer-related genes, Candidate cardiovascular disease genes, Predicted intracellular proteins, Predicted secreted proteins, Transporters
ENSG00000109846	CRYAB	P02511	4674.3	1023.6	7429.7	10537.6	Crystallin alpha B	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters
ENSG00000156508	EEF1A1	P68104	3982.3	1954.2	1563.8	3836.2	Eukaryotic translation elongation factor 1 alpha 1	Cancer-related genes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000120885	CLU	P10909	3839.4	6578.2	110.0	588.2	Clusterin	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000107317	PTGDS	P41222	3337.6	2180.1	101.5	4605.2	Prostaglandin D2 synthase	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000133112	TPT1	P13693	3313.7	1532.0	21778.2	4250.7	Tumor protein, translationally-controlled 1	Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000177954	RPS27	P42677	3198.9	2115.7	4810.1	3392.0	Ribosomal protein S27	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000111640	GAPDH	P04406	2757.7	2988.7	25843.3	5080.5	Glyceraldehyde-3-phosphate dehydrogenase	Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000197756	RPL37A	P61513	2753.6	2102.7	5061.0	2554.4	Ribosomal protein L37a	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000021300	PLEKHB1	Q9UF11	2714.0	590.4	8.8	13.9	Pleckstrin homology domain containing B1	Predicted intracellular proteins
ENSG00000167552	TUBA1A	Q71U36	2689.9	807.4	35.1	168.9	Tubulin alpha 1a	Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters
ENSG00000075624	ACTB	P60709	2608.5	1796.2	518.3	1326.2	Actin beta	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000087250	MT3	P25713	2335.8	5762.5	6.2	17.8	Metallothionein 3	Predicted intracellular proteins
ENSG00000112306	RPS12	P25398	2330.5	1246.8	2362.2	1806.2	Ribosomal protein S12	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000122026	RPL21	P46778	2240.4	1497.5	2821.2	1941.5	Ribosomal protein L21	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000071082	RPL31	P62899	2162.1	2269.7	2534.2	1905.7	Ribosomal protein L31	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000213741	RPS29	P62273	2135.1	1451.5	3553.9	2067.5	Ribosomal protein S29	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000231500	RPS18	P62269	2087.4	1557.4	3292.4	2023.1	Ribosomal protein S18	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000142534	RPS11	P62280	2038.7	1505.6	3319.6	1905.4	Ribosomal protein S11	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000138326	RPS24	P62847	2030.6	1531.4	3587.2	1837.2	Ribosomal protein S24	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000156482	RPL30	P62888	1981.9	970.2	3067.8	1642.3	Ribosomal protein L30	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000229117	RPL41	P62945	1949.0	2275.2	5752.2	2937.5	Ribosomal protein L41	Predicted intracellular proteins, Ribosomal proteins
ENSG00000162734	PEA15	Q15121	1945.8	776.2	60.6	234.6	Proliferation and apoptosis adaptor protein 15	Plasma proteins, Predicted intracellular proteins
ENSG00000172809	RPL38	P63173	1906.5	1384.2	2771.7	1404.5	Ribosomal protein L38	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000008988	RPS20	P60866	1904.2	1140.2	2557.6	1938.2	Ribosomal protein S20	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000180354	MTURN	Q8N3F0	1847.2	485.0	34.6	23.4	Maturin, neural progenitor differentiation regulator homolog	Predicted intracellular proteins
ENSG00000161970	RPL26	P61254	1840.7	1310.4	2534.2	1666.4	Ribosomal protein L26	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000118785	SPP1	P10451	1840.1	427.2	15.3	34.6	Secreted phosphoprotein 1	Cancer-related genes, Plasma proteins, Predicted secreted proteins
ENSG00000118181	RPS25	P62851	1834.4	1200.1	3801.1	1752.1	Ribosomal protein S25	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000137154	RPS6	P62753	1829.7	879.6	1681.5	1354.9	Ribosomal protein S6	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000147403	RPL10	P27635	1815.8	1009.1	4611.4	2678.0	Ribosomal protein L10	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000170315	UBB	P0CG47	1813.5	1607.0	2491.5	1562.7	Ubiquitin B	Predicted intracellular proteins
ENSG00000166710	B2M	P61769	1715.6	1088.5	952.8	2179.2	Beta-2-microglobulin	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters
ENSG00000108298	RPL19	P84098	1702.9	929.7	2657.7	1462.9	Ribosomal protein L19	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000100097	LGALS1	P09382	1620.6	491.1	1201.0	1492.7	Galectin 1	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000189058	APOD	P05090	1607.8	374.6	1489.7	1303.8	Apolipoprotein D	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins
ENSG00000177600	RPLP2	P05387	1567.8	959.1	2796.8	1642.2	Ribosomal protein lateral stalk subunit P2	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000244274	DBNDD2	Q9BQY9	1567.7	276.1	296.5	441.1	Dysbindin domain containing 2	Predicted intracellular proteins
ENSG00000196262	PPIA	P62937	1560.1	1783.8	561.5	810.3	Peptidylprolyl isomerase A	Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000198918	RPL39	P62891	1517.8	935.7	2911.8	1853.5	Ribosomal protein L39	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000123416	TUBA1B	P68363	1479.9	1799.8	231.7	483.6	Tubulin alpha 1b	Essential proteins, Predicted intracellular proteins
ENSG00000109475	RPL34	P49207	1468.5	1028.2	1254.2	1045.0	Ribosomal protein L34	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000100316	RPL3	P39023	1461.7	1055.0	567.9	1334.5	Ribosomal protein L3	Essential proteins, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000182774	RPS17	P08708	1446.8	882.9	1814.6	1562.1	Ribosomal protein S17	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000125148	MT2A	P02795	1444.7	1433.1	6198.0	1093.4	Metallothionein 2A	Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000080822	CLDND1	Q9NY35	1440.2	243.3	42.8	53.9	Claudin domain containing 1	Predicted intracellular proteins, Predicted membrane proteins, Transporters
ENSG00000167526	RPL13	P26373	1417.2	1006.6	2324.5	1598.5	Ribosomal protein L13	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000144713	RPL32	P62910	1403.1	1088.5	2330.1	1203.1	Ribosomal protein L32	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000145425	RPS3A	P61247	1385.5	1002.4	2081.4	1482.9	Ribosomal protein S3A	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000136942	RPL35	P42766	1383.2	1173.3	2533.5	1438.2	Ribosomal protein L35	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000115268	RPS15	P62841	1377.4	1137.9	1850.6	1209.7	Ribosomal protein S15	Cancer-related genes, Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000117632	STMN1	P16949	1366.8	1038.1	28.6	52.5	Stathmin 1	Cancer-related genes, Predicted intracellular proteins
ENSG00000105372	RPS19	P39019	1353.3	943.7	1594.3	1357.2	Ribosomal protein S19	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000166441	RPL27A	P46776	1342.2	885.9	2033.2	1408.1	Ribosomal protein L27a	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000108107	RPL28	P46779	1312.3	879.0	1168.1	1119.1	Ribosomal protein L28	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000186468	RPS23	P62266	1299.9	762.2	2725.2	1159.5	Ribosomal protein S23	Disease related genes, Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000142937	RPS8	P62241	1292.7	749.5	1899.8	1174.2	Ribosomal protein S8	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000160678	S100A1	P23297	1266.4	787.2	2868.7	2882.1	S100 calcium binding protein A1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters
ENSG00000143933	CALM2	P0DP24	1254.5	1193.7	261.2	433.6	Calmodulin 2	Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins
ENSG00000163682	RPL9	P32969	1246.9	990.2	1603.8	1188.1	Ribosomal protein L9	Essential proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Ribosomal proteins
ENSG00000170889	RPS9	P46781	1244.7	673.5	1385.3	1104.4	Ribosomal protein S9	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000101439	CST3	P01034	1236.0	2965.9	770.5	1324.6	Cystatin C	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins
ENSG00000187514	PTMA	P06454	1222.3	521.9	297.2	525.8	Prothymosin alpha	Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000143947	RPS27A	P62979	1215.5	880.7	1206.6	1013.7	Ribosomal protein S27a	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000198242	RPL23A	P62750	1213.4	855.7	2005.9	1171.0	Ribosomal protein L23a	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000188536	HBA2	P69905	1201.0	550.8	534.0	3042.6	Hemoglobin subunit alpha 2	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transporters
ENSG00000087460	GNAS	O95467	1200.1	2064.1	2238.0	1819.8	GNAS complex locus	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters
ENSG00000142541	RPL13A	P40429	1181.1	807.1	2756.6	1555.1	Ribosomal protein L13a	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000244734	HBB	P68871	1168.8	546.2	543.9	2550.9	Hemoglobin subunit beta	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transporters
ENSG00000147604	RPL7	P18124	1166.7	832.1	2251.5	1272.5	Ribosomal protein L7	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000114391	RPL24	P83731	1166.1	950.2	1680.9	1305.0	Ribosomal protein L24	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000265681	RPL17	P18621	1162.5	904.9	1417.9	1474.5	Ribosomal protein L17	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000137818	RPLP1	P05386	1156.3	786.9	4535.9	2024.6	Ribosomal protein lateral stalk subunit P1	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000034510	TMSB10	P63313	1130.5	2626.4	469.0	1700.5	Thymosin beta 10	Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000105290	APLP1	P51693	1120.2	289.1	0.5	10.1	Amyloid beta precursor like protein 1	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins
ENSG00000173786	CNP	P09543	1112.6	344.3	24.6	24.2	2',3'-cyclic nucleotide 3' phosphodiesterase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins
ENSG00000174748	RPL15	P61313	1106.9	835.9	1646.3	1122.1	Ribosomal protein L15	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000110700	RPS13	P62277	1097.7	547.4	2179.3	1114.3	Ribosomal protein S13	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000175130	MARCKSL1	P49006	1097.7	270.5	9.3	58.8	MARCKS like 1	Predicted intracellular proteins
ENSG00000149806	FAU	P62861	1091.5	848.8	1450.1	1124.8	FAU ubiquitin like and ribosomal protein S30 fusion	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000196531	NACA	E9PAV3	1079.9	723.5	1154.9	912.0	Nascent polypeptide associated complex subunit alpha	Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000019582	CD74	P04233	1060.2	273.3	296.6	607.5	CD74 molecule	Cancer-related genes, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters
ENSG00000168028	RPSA	P08865	1052.8	766.9	1043.1	746.7	Ribosomal protein SA	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000197958	RPL12	P30050	1049.4	640.6	2096.1	1029.4	Ribosomal protein L12	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000169020	ATP5ME	P56385	1035.3	886.8	1922.2	2120.6	ATP synthase membrane subunit e	Metabolic proteins, Predicted intracellular proteins, Transporters
ENSG00000124614	RPS10	P46783	1033.4	918.4	1575.7	1123.5	Ribosomal protein S10	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Ribosomal proteins
ENSG00000165795	NDRG2	Q9UN36	1031.9	1730.8	1707.9	308.6	NDRG family member 2	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000240972	MIF	P14174	1022.3	765.0	202.8	599.2	Macrophage migration inhibitory factor	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000125691	RPL23	P62829	1006.1	624.9	1837.5	1176.2	Ribosomal protein L23	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000148303	RPL7A	P62424	1002.7	760.7	1945.4	1260.2	Ribosomal protein L7a	Disease related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000184009	ACTG1	P63261	990.8	844.0	321.6	659.8	Actin gamma 1	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000108387	SEPTIN4	O43236	983.1	407.7	10.3	54.5	Septin 4	Predicted intracellular proteins
ENSG00000099194	SCD	O00767	979.4	317.8	5.7	44.1	Stearoyl-CoA desaturase	Enzymes, Essential proteins, Metabolic proteins, Predicted membrane proteins
ENSG00000063177	RPL18	Q07020	977.1	788.1	1162.4	938.8	Ribosomal protein L18	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000171858	RPS21	P63220	976.8	1252.5	1922.4	885.4	Ribosomal protein S21	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000131469	RPL27	P61353	976.0	942.8	2362.0	1370.2	Ribosomal protein L27	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000178980	SELENOW	P63302	964.8	1222.1	1620.8	1129.8	Selenoprotein W	Predicted intracellular proteins
ENSG00000105193	RPS16	P62249	964.0	581.4	2289.2	1503.1	Ribosomal protein S16	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000089220	PEBP1	P30086	962.5	992.2	543.8	485.5	Phosphatidylethanolamine binding protein 1	Plasma proteins, Predicted intracellular proteins
ENSG00000197956	S100A6	P06703	959.5	420.6	832.7	1372.5	S100 calcium binding protein A6	Cancer-related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000150991	UBC	P0CG48	939.5	797.3	3526.9	1272.9	Ubiquitin C	Predicted intracellular proteins
ENSG00000105640	RPL18A	Q02543	922.3	713.3	2624.7	1206.4	Ribosomal protein L18a	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000123349	PFDN5	Q99471	914.7	675.1	689.2	599.0	Prefoldin subunit 5	Essential proteins, Predicted intracellular proteins
ENSG00000160781	PAQR6	Q6TCH4	911.8	164.4	1.2	1.9	Progestin and adipoQ receptor family member 6	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000162244	RPL29	P47914	893.6	645.2	2629.5	1031.7	Ribosomal protein L29	Predicted intracellular proteins, Ribosomal proteins
ENSG00000089009	RPL6	Q02878	890.5	670.2	1408.1	855.4	Ribosomal protein L6	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000047849	MAP4	P27816	890.0	242.9	562.4	329.5	Microtubule associated protein 4	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins
ENSG00000078804	TP53INP2	Q8IXH6	888.0	131.9	50.1	80.6	Tumor protein p53 inducible nuclear protein 2	Predicted intracellular proteins
ENSG00000091513	TF	P02787	886.6	175.5	1.9	11.4	Transferrin	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000221983	UBA52	P62987	884.6	607.4	1571.8	941.6	Ubiquitin A-52 residue ribosomal protein fusion product 1	Essential proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000250722	SELENOP	P49908	883.9	138.2	146.4	222.2	Selenoprotein P	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins
ENSG00000134419	RPS15A	P62244	883.6	512.8	2229.2	1213.4	Ribosomal protein S15a	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Ribosomal proteins
ENSG00000172757	CFL1	P23528	874.1	967.7	272.7	508.5	Cofilin 1	Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000168314	MOBP	Q13875	873.9	99.1	0.2	0.1	Myelin associated oligodendrocyte basic protein	Predicted intracellular proteins
ENSG00000170296	GABARAP	O95166	872.4	655.5	934.7	686.8	GABA type A receptor-associated protein	Predicted intracellular proteins, Transporters
ENSG00000113140	SPARC	P09486	871.6	906.9	242.2	527.6	Secreted protein acidic and cysteine rich	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000167641	PPP1R14A	Q96A00	860.8	102.1	35.2	128.0	Protein phosphatase 1 regulatory inhibitor subunit 14A	Plasma proteins, Predicted intracellular proteins
ENSG00000164587	RPS14	P62263	855.3	710.0	1474.3	967.8	Ribosomal protein S14	Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000168309	FAM107A	O95990	825.5	1173.1	28.0	150.0	Family with sequence similarity 107 member A	Predicted intracellular proteins
ENSG00000092841	MYL6	P60660	821.1	568.1	398.7	1096.7	Myosin light chain 6	Plasma proteins, Predicted intracellular proteins
ENSG00000104833	TUBB4A	P04350	806.3	512.9	4.1	2.7	Tubulin beta 4A class IVa	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins
ENSG00000204389	HSPA1A	P0DMV8	798.8	392.8	293.0	935.3	Heat shock protein family A (Hsp70) member 1A	Disease related genes, Predicted intracellular proteins
ENSG00000122406	RPL5	P46777	775.0	439.9	1096.1	856.4	Ribosomal protein L5	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000166925	TSC22D4	Q9Y3Q8	767.3	384.9	25.4	57.2	TSC22 domain family member 4	Predicted intracellular proteins, Transcription factors
ENSG00000140988	RPS2	P15880	765.5	567.4	2308.4	1171.4	Ribosomal protein S2	Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins
ENSG00000171863	RPS7	P62081	764.5	637.3	1045.7	892.4	Ribosomal protein S7	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins
ENSG00000130203	APOE	P02649	756.0	1195.4	29.1	176.7	Apolipoprotein E	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins
ENSG00000164402	SEPTIN8	Q92599	749.6	157.1	10.2	30.9	Septin 8	Predicted intracellular proteins
ENSG00000088986	DYNLL1	P63167	744.0	997.9	86.4	272.5	Dynein light chain LC8-type 1	Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000254772	EEF1G	P26641	734.1	545.8	4507.4	1097.6	Eukaryotic translation elongation factor 1 gamma	Essential proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000111775	COX6A1	P12074	731.1	1404.2	62.1	247.3	Cytochrome c oxidase subunit 6A1	Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted membrane proteins
ENSG00000117450	PRDX1	Q06830	728.6	414.6	598.8	561.4	Peroxiredoxin 1	Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
ENSG00000151552	QDPR	P09417	718.9	265.3	101.8	43.8	Quinoid dihydropteridine reductase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins
ENSG00000140264	SERF2	P84101	716.8	474.9	638.5	1158.8	Small EDRK-rich factor 2	Predicted intracellular proteins
ENSG00000196683	TOMM7	Q9P0U1	712.9	837.3	1630.0	870.1	Translocase of outer mitochondrial membrane 7	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000046653	GPM6B	Q13491	709.5	437.3	2.3	15.1	Glycoprotein M6B	Predicted membrane proteins
ENSG00000105695	MAG	P20916	699.7	92.1	0.1	0.5	Myelin associated glycoprotein	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins
ENSG00000204655	MOG	Q16653	686.8	65.3	0.0	2.6	Myelin oligodendrocyte glycoprotein	Disease related genes, Human disease related genes, Predicted membrane proteins
