Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class
ENSG00000182150	ERCC6L2	Q5T890	1.5	3.6	2.9	2.6	ERCC excision repair 6 like 2	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins
ENSG00000183908	LRRC55	Q6ZSA7	1.5	3.7	0.3	0.3	Leucine rich repeat containing 55	Predicted membrane proteins, Transporters
ENSG00000160282	FTCD	O95954	1.5	6.8	0.4	1.5	Formimidoyltransferase cyclodeaminase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins
ENSG00000107249	GLIS3	Q8NEA6	1.5	1.8	0.6	1.6	GLIS family zinc finger 3	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors
ENSG00000080854	IGSF9B	Q9UPX0	1.5	8.0	4.4	8.3	Immunoglobulin superfamily member 9B	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000101438	SLC32A1	Q9H598	1.5	12.5	0.0	0.0	Solute carrier family 32 member 1	Metabolic proteins, Predicted membrane proteins, Transporters
ENSG00000185532	PRKG1	Q13976	1.5	3.5	24.2	13.3	Protein kinase cGMP-dependent 1	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins
ENSG00000112029	FBXO5	Q9UKT4	1.5	2.4	0.9	1.7	F-box protein 5	Essential proteins, Predicted intracellular proteins
ENSG00000234719	NPIPB2	A6NJ64	1.5	3.0	8.6	1.8	Nuclear pore complex interacting protein family member B2	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000198324	PHETA1	Q8N4B1	1.5	2.3	4.5	6.6	PH domain containing endocytic trafficking adaptor 1	Predicted intracellular proteins
ENSG00000234444	ZNF736	B4DX44	1.5	2.6	1.4	1.6	Zinc finger protein 736	Predicted intracellular proteins, Transcription factors
ENSG00000160593	JAML	Q86YT9	1.5	0.4	1.1	3.0	Junction adhesion molecule like	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000205084	TMEM231	Q9H6L2	1.5	5.7	1.1	6.2	Transmembrane protein 231	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins
ENSG00000155592	ZKSCAN2	Q63HK3	1.5	2.1	3.0	1.7	Zinc finger with KRAB and SCAN domains 2	Predicted intracellular proteins, Transcription factors
ENSG00000068137	PLEKHH3	Q7Z736	1.5	3.6	24.2	8.5	Pleckstrin homology, MyTH4 and FERM domain containing H3	Predicted intracellular proteins
ENSG00000257591	ZNF625	Q96I27	1.5	2.2	0.5	1.6	Zinc finger protein 625	Predicted intracellular proteins, Transcription factors
ENSG00000106034	CPED1	A4D0V7	1.5	1.5	16.6	20.1	Cadherin like and PC-esterase domain containing 1	Predicted intracellular proteins
