,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WASH7P,284.0603318305473,-0.030523730774452796,0.17266203972505906,-0.17678310080813192,0.8596787635793093,0.935437337125539
LOC729737,351.892925208705,0.32389734581814184,0.3047164028333816,1.0629468673376548,0.2878060472983559,0.5367441292733074
MIR6723,101.42251457600953,-0.5541458240187783,0.2880644307569141,-1.9236870812641198,0.05439381831092804,0.2072793387554707
LOC100133331,77.99683397681844,-0.12011999168389836,0.24509939527866548,-0.4900868545486539,0.6240724397151831,0.8018288795031915
LOC100288069,157.24682973104368,0.3432668146238206,0.20014136081766237,1.7151218180061834,0.08632289494593055,0.2710303551637323
FAM87B,107.46240895811022,0.10737091490650386,0.33681878738025656,0.3187794711263712,0.749893746433655,0.8784858802453481
LINC00115,101.11565977924684,0.3322701455017449,0.27031652868393663,1.2291891550969365,0.21900089405235967,0.4614474294522983
LINC01128,917.209510486244,-0.3196913229484535,0.17231148662595247,-1.8553105727793286,0.06355188927510436,0.22781886266545193
FAM41C,9.498089476060079,-0.3047695568112615,0.5611025482453931,-0.5431619545558958,0.5870182989367395,0.7775601143043337
LOC100130417,174.8254261719193,-0.020311899069277346,0.3046176622619806,-0.06667997816820118,0.9468364739385261,0.9753213309041207
SAMD11,490.1981912102896,0.3213222100062537,0.457678091975272,0.7020703320525434,0.48263530314712044,0.7060467100632365
NOC2L,1936.9026530231456,0.2263899277518188,0.1516079378373097,1.4932590666509664,0.1353693859572445,0.3530589795247788
KLHL17,517.6731205901806,0.20486777120576669,0.14228031251200324,1.4398883976901817,0.14989897612358435,0.3730026355064935
PLEKHN1,23.47033886162311,0.17583096889491026,0.34431814018319323,0.5106642618404015,0.6095861695921533,0.7925989542207227
PERM1,21.28493026378387,0.12334270099363742,0.5504630382870165,0.22407081386875136,0.8227022022494436,0.917739194849715
HES4,1042.5220679785637,0.772901099406509,0.22092638445537047,3.4984553850906996,0.0004679613748180801,0.012711340793320224
ISG15,5632.248232462046,1.0581256279250875,1.074484781270012,0.9847748859452542,0.32473465925235323,0.5730253926920184
AGRN,12199.709405908245,0.24695110426002517,0.19371047557171311,1.2748464094736165,0.20236361045086126,0.44079360182310434
C1orf159,320.1714466373994,-0.04141340961754797,0.12991027913104528,-0.31878470198476555,0.7498897795808677,0.8784858802453481
