#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60000,-3964548.053157199,299.28667903367096,0
70000,-3964477.666438449,301.01144999810117,64.3
80000,-3963910.275813449,299.7575395029849,64.2
90000,-3963007.326594699,300.795060148439,64.3
100000,-3964487.447688449,300.88704041403065,64.4
110000,-3964473.115657199,300.65077785776856,64.6
120000,-3961231.494563449,300.3272075747709,64.8
130000,-3961962.400813449,300.20390676068484,65
140000,-3964316.846125949,299.93109462326197,65.2
150000,-3960345.873469699,301.0847166623557,65.5
160000,-3968536.514094699,301.09196246889155,65.7
170000,-3967854.881282199,300.1111686168058,65.9
180000,-3962966.775813449,300.20311264488174,66.1
190000,-3962843.826594699,300.49687236267147,66.4
200000,-3963732.986750949,300.0166628838192,66.5
210000,-3963116.014094699,300.21843097456497,66.6
220000,-3963771.127375949,299.74604633320115,66.7
230000,-3969909.721125949,299.42136835139274,66.9
240000,-3964825.037532199,300.4766071393425,66.9
250000,-3964547.455500949,300.7952066261572,67.1
260000,-3965227.873469699,300.2111740043615,67.2
270000,-3967831.396907199,299.90689447623964,67.4
280000,-3966837.455500949,299.82339460213524,67.6
290000,-3964328.768000949,299.9149620385491,67.7
300000,-3968252.584407199,300.03001461551986,67.8
310000,-3964400.100032199,300.45831899326726,67.9
320000,-3965084.932063449,299.79527370389803,67.9
330000,-3962571.174250949,300.21805900084684,67.9
340000,-3964099.244563449,299.52448020270697,67.9
350000,-3961791.236750949,299.55520834700116,67.9
360000,-3964266.283625949,300.3253334927783,67.9
370000,-3962135.014094699,300.21541553855377,67.9
380000,-3966428.650813449,300.2391994214522,67.9
390000,-3966484.744563449,300.88767547288376,67.9
400000,-3961997.775813449,301.0987756172283,67.9
410000,-3963957.381282199,299.76972190982923,67.9
420000,-3962766.846125949,301.3870981324431,67.9
430000,-3967813.096125949,300.687398632859,68
440000,-3966275.760188449,300.3397908970027,67.9
450000,-3965124.521907199,299.86103654903354,67.9
460000,-3963231.150813449,299.93624123001734,67.9
470000,-3965747.475032199,300.2478948269823,67.9
480000,-3961354.221125949,300.2197155870859,67.9
490000,-3963240.619563449,300.1413366461703,68
500000,-3964924.389094699,301.015436812183,68
510000,-3963150.904719699,300.10051570093566,68.1
520000,-3965598.846125949,300.8288824145608,68.1
530000,-3967512.314875949,299.92621282980775,68.2
540000,-3964357.053157199,299.3709727160444,68.2
550000,-3965862.060969699,299.833245827521,68.3
560000,-3965391.299250949,300.94169649965426,68.3
570000,-3966672.857844699,300.1246403778866,68.3
580000,-3964610.400813449,300.0026336243713,68.3
590000,-3962919.377375949,300.0312857347509,68.2
600000,-3967135.029719699,300.0886623923874,68.2
610000,-3964535.143000949,301.08230336921315,68.2
620000,-3964276.650813449,300.48683784121897,68.1
630000,-3962342.201594699,300.43260453684786,68.1
640000,-3964872.088313449,299.51770388476587,68
650000,-3964719.975032199,300.07618469406145,68
660000,-3964177.728938449,299.9656912845745,68
670000,-3964954.221125949,299.605938814477,68
680000,-3964179.139094699,300.2547472062424,68
690000,-3963280.283625949,300.17820733398884,68
700000,-3965891.486750949,301.21391009942215,67.9
710000,-3964638.744563449,299.83562602293586,67.9
720000,-3964737.615657199,299.27577239973033,67.9
730000,-3965315.002375949,300.0790483312118,67.9
740000,-3966239.381282199,301.3759838664215,67.9
750000,-3965323.627375949,299.0935801348448,67.9
760000,-3961978.646907199,300.30193596950886,67.9
770000,-3965750.478938449,299.47528061170556,67.8
780000,-3966078.627375949,299.69411127381653,67.8
790000,-3963899.299250949,300.25511029565405,67.8
800000,-3964395.986750949,301.3415339847513,67.7
810000,-3964298.471125949,299.9402266334919,67.7
820000,-3964357.365657199,299.9765538843925,67.7
830000,-3962259.998469699,300.3215446835288,67.7
840000,-3964973.100032199,298.7349308933905,67.7
850000,-3967019.084407199,299.9534604898066,67.7
860000,-3966359.064875949,301.1762176684007,67.7
870000,-3964644.185969699,300.38783958253794,67.7
880000,-3959799.287532199,300.04691770872466,67.6
890000,-3963482.443782199,300.32235922103365,67.6
900000,-3961500.635188449,301.4761680900999,67.7
910000,-3966209.807063449,300.69909294638035,67.7
920000,-3962161.115657199,300.7311965291039,67.7
930000,-3965392.799250949,300.23506191354664,67.7
940000,-3962033.822688449,301.5062168424738,67.7
950000,-3967716.076594699,300.4460074896714,67.7
960000,-3964855.814875949,300.5945173715775,67.7
970000,-3965929.885188449,300.6946384700217,67.7
980000,-3964622.693782199,301.33227450303605,67.7
990000,-3965291.713313449,299.911351332876,67.7
1000000,-3963830.709407199,301.41575410853187,67.7
1010000,-3961136.998469699,300.068697490723,67.7
1020000,-3963122.955500949,300.71848190634915,67.7
1030000,-3966760.947688449,300.8329876992946,67.7
1040000,-3964220.682063449,301.39483519395566,67.7
1050000,-3964190.353938449,300.8209862305165,67.7
1060000,-3963880.248469699,300.78529974872646,67.7
1070000,-3967081.076594699,300.291248960346,67.7
1080000,-3966511.603938449,300.2323859996759,67.7
1090000,-3963121.951594699,300.04631842410697,67.7
1100000,-3964844.283625949,300.51124631887285,67.6
1110000,-3960963.068782199,301.0057902015256,67.6
1120000,-3963168.670344699,300.1197749702359,67.7
1130000,-3966142.338313449,300.1398917970674,67.7
1140000,-3964825.865657199,299.891337587021,67.7
1150000,-3966319.080500949,300.7871863619338,67.7
1160000,-3966276.557063449,300.8382638491136,67.8
1170000,-3967632.518000949,300.0243753286832,67.8
1180000,-3963967.533625949,301.8087389615578,67.8
1190000,-3964677.213313449,299.86154885979323,67.9
1200000,-3963279.846125949,301.2987780014731,67.9
1210000,-3963337.236750949,300.5588709572844,67.9
1220000,-3964023.779719699,300.1126078417818,67.9
1230000,-3963378.783625949,299.9292988982556,67.9
1240000,-3964705.541438449,299.63525409384283,67.9
1250000,-3962584.654719699,300.3145239254107,67.9
1260000,-3966612.560969699,299.29580179019496,68
1270000,-3965405.799250949,300.4267066648826,68
1280000,-3965205.935969699,300.349239757154,68
1290000,-3964027.541438449,300.49447447609884,68
1300000,-3961319.787532199,299.8774473673027,68
1310000,-3961393.771907199,300.3421074871101,68
1320000,-3966359.518000949,301.1592397298491,68
1330000,-3963334.002375949,298.95973273270806,68
1340000,-3961517.006282199,300.971829077901,67.9
1350000,-3966422.853938449,300.81430528645933,67.9
1360000,-3963164.041438449,300.5382408899722,67.9
1370000,-3968084.439875949,299.9066346604057,68
1380000,-3968084.666438449,300.554033107588,68
1390000,-3968220.568782199,300.5078778594784,68
1400000,-3964545.025813449,300.05587597492547,68
1410000,-3963728.568782199,299.9438154451453,68
1420000,-3963361.299250949,299.4929135349538,68
1430000,-3963990.103938449,300.23368501991916,67.9
1440000,-3967374.174250949,299.7228311604069,67.9
1450000,-3966269.225032199,300.50411904310494,67.9
1460000,-3963436.018000949,299.8924990704265,67.9
1470000,-3965173.096125949,300.1232601561347,67.9
1480000,-3966114.076594699,300.34111693828737,67.9
1490000,-3963583.947688449,300.07922379698823,67.9
1500000,-3966786.830500949,300.11019870944864,67.9
1510000,-3962639.744563449,300.4183383015004,67.9
1520000,-3963192.752375949,300.87592011016227,67.9
1530000,-3965388.213313449,299.58590042679026,67.9
1540000,-3966188.154719699,300.2517585032675,67.9
1550000,-3966422.986750949,300.3689692246154,67.9
1560000,-3963844.771907199,301.0089404431382,68
1570000,-3965823.857844699,299.92395400821954,68
1580000,-3962284.893000949,299.99364262396875,68
1590000,-3964656.779719699,300.20522788935926,68
1600000,-3966996.838313449,300.5324361633741,68.1
1610000,-3962663.123469699,300.0433414123688,68.1
1620000,-3964685.771907199,300.28366637132575,68.1
1630000,-3963739.228938449,299.9130420174812,68.1
1640000,-3965781.674250949,300.50321471201494,68.1
1650000,-3966696.217219699,300.8870079679319,68.2
1660000,-3965528.447688449,300.2942436527323,68.2
1670000,-3965414.920344699,300.62727696892097,68.2
1680000,-3963824.310969699,300.37291226856195,68.2
1690000,-3965603.455500949,299.7702188489489,68.2
1700000,-3964951.463313449,300.2049049627504,68.2
1710000,-3966277.529719699,301.2597544448712,68.2
1720000,-3967136.943782199,298.83195165659225,68.2
1730000,-3966195.443782199,300.81580176694564,68.2
1740000,-3963686.400813449,300.09848097320355,68.2
1750000,-3965267.787532199,300.7913385473132,68.2
1760000,-3966925.709407199,300.8410720996028,68.2
1770000,-3965335.627375949,300.4942905482495,68.2
1780000,-3966637.904719699,299.6641010980246,68.2
1790000,-3963383.080500949,300.7263259865868,68.2
1800000,-3966893.006282199,299.75525783468333,68.2
1810000,-3966296.416438449,300.73610745727603,68.2
1820000,-3965021.557063449,300.0084342428866,68.2
1830000,-3965634.107844699,300.86488677918857,68.2
1840000,-3965474.771907199,299.63451852395605,68.2
1850000,-3963438.646907199,300.0520542694614,68.2
1860000,-3966004.752375949,299.0880126281678,68.2
1870000,-3968029.221125949,301.01751608392095,68.2
1880000,-3964887.275813449,300.5638225323559,68.3
1890000,-3964075.810969699,299.6646008813563,68.3
1900000,-3965386.857844699,301.7851824158787,68.3
1910000,-3964988.537532199,300.1677561718156,68.3
1920000,-3963968.576594699,300.2890176556903,68.3
1930000,-3966208.369563449,300.6608880133382,68.3
1940000,-3963208.162532199,299.7058413465045,68.3
1950000,-3965941.369563449,300.55336646440605,68.3
1960000,-3964955.756282199,300.72583046164186,68.3
1970000,-3967431.685969699,300.77372264393017,68.3
1980000,-3965449.658625949,300.51670922937546,68.3
1990000,-3964342.295344699,300.05989428887733,68.3
2000000,-3966943.838313449,299.834959364142,68.4
2010000,-3963815.553157199,300.02698516809795,68.4
2020000,-3966811.057063449,300.63461089191964,68.4
2030000,-3964700.447688449,300.31749855652515,68.4
2040000,-3965144.654719699,300.7812497284738,68.4
2050000,-3963663.029719699,300.34297820073033,68.4
2060000,-3967046.166438449,300.41171119042605,68.4
2070000,-3964404.775813449,299.6483397617701,68.5
2080000,-3964128.193782199,299.8578284255306,68.5
2090000,-3965333.553157199,300.3209549820985,68.5
2100000,-3963406.912532199,299.71672900032627,68.5
2110000,-3966650.111750949,300.022574632962,68.5
2120000,-3967305.861750949,301.7666689966208,68.5
2130000,-3961078.162532199,299.1345687170422,68.5
2140000,-3964773.424250949,299.50549146351784,68.5
2150000,-3965640.396907199,299.0383254124242,68.5
2160000,-3964255.217219699,300.6683579172529,68.5
2170000,-3964216.060969699,300.6032152378461,68.6
2180000,-3966760.803157199,299.8536506408332,68.6
2190000,-3966149.889094699,299.1007268932861,68.6
2200000,-3964886.592219699,299.9589944496969,68.6
2210000,-3961170.510188449,299.2860354478264,68.6
2220000,-3965406.814875949,300.99783468680613,68.6
2230000,-3966551.060969699,300.3820097703584,68.6
2240000,-3963330.701594699,301.3674289940348,68.6
2250000,-3964724.037532199,300.262903318633,68.7
2260000,-3965115.865657199,300.0530467288611,68.7
